PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2
40,3.59E+03,3.12E+02,8.95E+01,1.31E+02,6.03E+01,1.72E+01,2.55E+01,1.19E+00,1.51E+00,1.27E+01,3.35E+00,4.95E+00,1.99E-01,2.51E-01,1.70E+00,2.09E-01,2.94E-01
50,1.98E+03,1.77E+02,4.29E+01,6.11E+01,3.42E+01,8.40E+00,1.21E+01,4.69E-01,5.86E-01,7.23E+00,1.64E+00,2.36E+00,7.90E-02,9.78E-02,9.65E-01,1.03E-01,1.40E-01
60,1.21E+03,1.10E+02,2.35E+01,3.26E+01,2.13E+01,4.65E+00,6.56E+00,2.19E-01,2.70E-01,4.51E+00,9.11E-01,1.28E+00,3.70E-02,4.52E-02,6.01E-01,5.70E-02,7.59E-02
80,5.45E+02,5.13E+01,9.00E+00,1.20E+01,9.94E+00,1.81E+00,2.46E+00,6.59E-02,7.95E-02,2.10E+00,3.57E-01,4.80E-01,1.12E-02,1.34E-02,2.81E-01,2.23E-02,2.86E-02
100,2.90E+02,2.80E+01,4.28E+00,5.54E+00,5.44E+00,8.72E-01,1.14E+00,2.62E-02,3.10E-02,1.15E+00,1.72E-01,2.23E-01,4.46E-03,5.23E-03,1.54E-01,1.07E-02,1.33E-02
150,9.12E+01,9.15E+00,1.12E+00,1.36E+00,1.78E+00,2.31E-01,2.85E-01,5.02E-03,5.79E-03,3.78E-01,4.57E-02,5.59E-02,8.61E-04,9.82E-04,5.04E-02,2.86E-03,3.33E-03
200,4.01E+01,4.12E+00,4.40E-01,5.13E-01,8.04E-01,9.18E-02,1.08E-01,1.61E-03,1.84E-03,1.70E-01,1.82E-02,2.13E-02,2.77E-04,3.12E-04,2.27E-02,1.14E-03,1.27E-03
300,1.28E+01,1.35E+00,1.24E-01,1.37E-01,2.65E-01,2.60E-02,2.91E-02,3.50E-04,3.96E-04,5.61E-02,5.16E-03,5.73E-03,6.01E-05,6.79E-05,7.49E-03,3.23E-04,3.42E-04
400,5.91E+00,6.30E-01,5.27E-02,5.69E-02,1.24E-01,1.11E-02,1.21E-02,1.26E-04,1.45E-04,2.62E-02,2.21E-03,2.39E-03,2.16E-05,2.50E-05,3.50E-03,1.38E-04,1.43E-04
500,3.33E+00,3.57E-01,2.81E-02,3.00E-02,7.01E-02,5.95E-03,6.41E-03,5.92E-05,7.11E-05,1.49E-02,1.18E-03,1.26E-03,1.02E-05,1.22E-05,1.98E-03,7.38E-05,7.55E-05
600,2.13E+00,2.29E-01,1.72E-02,1.84E-02,4.50E-02,3.65E-03,3.93E-03,3.29E-05,4.14E-05,9.55E-03,7.24E-04,7.75E-04,5.69E-06,7.08E-06,1.28E-03,4.53E-05,4.63E-05
800,1.11E+00,1.19E-01,8.34E-03,9.01E-03,2.34E-02,1.78E-03,1.93E-03,1.42E-05,1.87E-05,4.96E-03,3.52E-04,3.80E-04,2.42E-06,3.23E-06,6.63E-04,2.20E-05,2.28E-05
1000,6.91E-01,7.44E-02,4.97E-03,5.45E-03,1.46E-02,1.06E-03,1.17E-03,7.67E-06,1.08E-05,3.10E-03,2.10E-04,2.30E-04,1.32E-06,1.86E-06,4.14E-04,1.31E-05,1.38E-05
1500,3.20E-01,3.43E-02,2.14E-03,2.41E-03,6.74E-03,4.56E-04,5.17E-04,3.06E-06,4.43E-06,1.43E-03,9.03E-05,1.02E-04,4.87E-07,7.82E-07,1.91E-04,5.68E-06,6.20E-06
