PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2
50,0.00E+00,8.29E+02,7.24E+02,7.81E+02,1.91E+02,1.48E+02,1.69E+02,2.58E+01,2.85E+01,5.06E+01,3.70E+01,4.22E+01,6.81E+00,7.49E+00,1.80E-01,2.00E-01,1.19E+01,7.94E+00,8.89E+00,1.11E+00,1.20E+00,1.98E+00,1.02E+00,9.82E-01
60,0.00E+00,5.54E+02,4.30E+02,4.42E+02,1.27E+02,9.01E+01,9.84E+01,1.30E+01,1.41E+01,3.34E+01,2.27E+01,2.47E+01,3.47E+00,3.74E+00,7.76E-02,8.57E-02,7.84E+00,4.87E+00,5.20E+00,5.70E-01,6.02E-01,1.31E+00,6.24E-01,5.75E-01
80,0.00E+00,2.87E+02,1.87E+02,1.78E+02,6.49E+01,4.07E+01,4.11E+01,4.38E+00,4.59E+00,1.71E+01,1.03E+01,1.04E+01,1.19E+00,1.24E+00,2.07E-02,2.24E-02,4.01E+00,2.23E+00,2.19E+00,1.96E-01,2.00E-01,6.68E-01,2.84E-01,2.42E-01
98.757,0.00E+00,1.75E+02,1.01E+02,9.08E+01,3.93E+01,2.25E+01,2.15E+01,1.98E+00,2.02E+00,1.03E+01,5.72E+00,5.45E+00,5.43E-01,5.51E-01,7.90E-03,8.44E-03,2.43E+00,1.24E+00,1.15E+00,8.95E-02,8.92E-02,4.04E-01,1.58E-01,1.27E-01
99.547,1.67E+03,1.71E+02,9.86E+01,8.85E+01,3.85E+01,2.20E+01,2.10E+01,1.92E+00,1.96E+00,1.01E+01,5.60E+00,5.32E+00,5.27E-01,5.35E-01,7.62E-03,8.13E-03,2.39E+00,1.21E+00,1.12E+00,8.69E-02,8.65E-02,3.96E-01,1.54E-01,1.24E-01
100,1.66E+03,1.70E+02,9.73E+01,8.73E+01,3.81E+01,2.17E+01,2.07E+01,1.88E+00,1.92E+00,1.00E+01,5.53E+00,5.24E+00,5.18E-01,5.25E-01,7.47E-03,7.96E-03,2.36E+00,1.20E+00,1.11E+00,8.54E-02,8.50E-02,3.92E-01,1.52E-01,1.22E-01
150,5.88E+02,6.33E+01,2.97E+01,2.39E+01,1.42E+01,6.88E+00,5.86E+00,4.12E-01,4.01E-01,3.73E+00,1.76E+00,1.50E+00,1.15E-01,1.12E-01,1.21E-03,1.24E-03,8.77E-01,3.82E-01,3.16E-01,1.90E-02,1.81E-02,1.46E-01,4.87E-02,3.50E-02
200,2.79E+02,3.10E+01,1.29E+01,9.60E+00,6.97E+00,3.05E+00,2.40E+00,1.43E-01,1.36E-01,1.83E+00,7.84E-01,6.16E-01,4.01E-02,3.80E-02,3.43E-04,3.48E-04,4.31E-01,1.70E-01,1.30E-01,6.65E-03,6.17E-03,7.15E-02,2.17E-02,1.44E-02
300,9.82E+01,1.14E+01,4.10E+00,2.76E+00,2.57E+00,9.89E-01,7.03E-01,3.37E-02,3.14E-02,6.75E-01,2.56E-01,1.81E-01,9.57E-03,8.84E-03,6.31E-05,6.39E-05,1.59E-01,5.55E-02,3.83E-02,1.59E-03,1.45E-03,2.63E-02,7.08E-03,4.25E-03
400,4.81E+01,5.70E+00,1.88E+00,1.19E+00,1.28E+00,4.58E-01,3.06E-01,1.28E-02,1.20E-02,3.38E-01,1.19E-01,7.88E-02,3.66E-03,3.38E-03,2.08E-05,2.11E-05,7.94E-02,2.58E-02,1.67E-02,6.08E-04,5.55E-04,1.32E-02,3.29E-03,1.85E-03
500,2.82E+01,3.38E+00,1.05E+00,6.38E-01,7.62E-01,2.58E-01,1.65E-01,6.27E-03,5.93E-03,2.01E-01,6.70E-02,4.26E-02,1.79E-03,1.68E-03,9.00E-06,9.50E-06,4.72E-02,1.45E-02,9.03E-03,2.98E-04,2.75E-04,7.84E-03,1.85E-03,1.00E-03
600,1.86E+01,2.24E+00,6.67E-01,3.93E-01,5.05E-01,1.64E-01,1.02E-01,3.58E-03,3.45E-03,1.33E-01,4.27E-02,2.63E-02,1.03E-03,9.79E-04,4.71E-06,5.22E-06,3.12E-02,9.27E-03,5.58E-03,1.71E-04,1.60E-04,5.19E-03,1.18E-03,6.20E-04
800,9.96E+00,1.20E+00,3.38E-01,1.92E-01,2.71E-01,8.38E-02,4.99E-02,1.57E-03,1.56E-03,7.13E-02,2.18E-02,1.29E-02,4.50E-04,4.44E-04,1.87E-06,2.10E-06,1.68E-02,4.73E-03,2.74E-03,7.48E-05,7.30E-05,2.79E-03,6.04E-04,3.04E-04
1000,6.30E+00,7.62E-01,2.08E-01,1.15E-01,1.72E-01,5.15E-02,2.98E-02,8.77E-04,8.98E-04,4.51E-02,1.34E-02,7.72E-03,2.51E-04,2.57E-04,9.68E-07,1.20E-06,1.06E-02,2.91E-03,1.64E-03,4.19E-05,4.20E-05,1.76E-03,3.72E-04,1.83E-04
1500,2.91E+00,3.50E-01,9.28E-02,4.91E-02,7.88E-02,2.31E-02,1.28E-02,3.39E-04,3.64E-04,2.07E-02,6.01E-03,3.31E-03,9.71E-05,1.05E-04,3.81E-07,4.58E-07,4.87E-03,1.30E-03,7.03E-04,1.62E-05,1.72E-05,8.10E-04,1.67E-04,7.90E-05
