PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2
30,1.27E+03,1.06E+02,1.17E+01,2.01E+01,1.58E+01,1.68E+00,2.87E+00,2.86E-02,3.89E-02,1.20E+00,9.70E-03,1.61E-02
40,5.54E+02,4.76E+01,4.18E+00,7.01E+00,7.11E+00,6.04E-01,1.01E+00,7.85E-03,1.05E-02,5.41E-01,3.49E-03,5.69E-03
50,2.88E+02,2.52E+01,1.86E+00,3.07E+00,3.78E+00,2.71E-01,4.46E-01,2.88E-03,3.81E-03,2.88E-01,1.57E-03,2.51E-03
60,1.68E+02,1.49E+01,9.60E-01,1.56E+00,2.24E+00,1.40E-01,2.27E-01,1.27E-03,1.67E-03,1.70E-01,8.12E-04,1.28E-03
80,7.09E+01,6.43E+00,3.37E-01,5.34E-01,9.66E-01,4.97E-02,7.83E-02,3.52E-04,4.55E-04,7.36E-02,2.87E-04,4.42E-04
100,3.61E+01,3.32E+00,1.51E-01,2.33E-01,5.00E-01,2.22E-02,3.43E-02,1.32E-04,1.68E-04,3.81E-02,1.29E-04,1.93E-04
150,1.06E+01,9.90E-01,3.54E-02,5.26E-02,1.49E-01,5.27E-03,7.78E-03,2.30E-05,2.88E-05,1.14E-02,3.05E-05,4.39E-05
200,4.43E+00,4.20E-01,1.31E-02,1.88E-02,6.34E-02,1.95E-03,2.79E-03,6.98E-06,8.68E-06,4.83E-03,1.13E-05,1.58E-05
300,1.34E+00,1.29E-01,3.39E-03,4.75E-03,1.94E-02,5.07E-04,7.06E-04,1.41E-06,1.78E-06,1.48E-03,2.93E-06,4.00E-06
400,5.98E-01,5.76E-02,1.38E-03,1.92E-03,8.71E-03,2.07E-04,2.86E-04,4.87E-07,6.41E-07,6.64E-04,1.19E-06,1.62E-06
500,3.30E-01,3.19E-02,7.15E-04,1.00E-03,4.82E-03,1.07E-04,1.49E-04,2.25E-07,3.07E-07,3.67E-04,6.17E-07,8.46E-07
600,2.08E-01,2.01E-02,4.29E-04,6.09E-04,3.05E-03,6.42E-05,9.07E-05,1.23E-07,1.78E-07,2.32E-04,3.70E-07,5.16E-07
800,1.06E-01,1.03E-02,2.03E-04,2.97E-04,1.56E-03,3.03E-05,4.44E-05,5.08E-08,8.09E-08,1.19E-04,1.75E-07,2.54E-07
1000,6.63E-02,6.41E-03,1.19E-04,1.81E-04,9.70E-04,1.78E-05,2.70E-05,2.73E-08,4.67E-08,7.41E-05,1.03E-07,1.56E-07
1500,3.09E-02,2.98E-03,5.01E-05,8.14E-05,4.51E-04,7.46E-06,1.22E-05,9.99E-09,1.99E-08,3.47E-05,4.36E-08,7.24E-08
