PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2
20,0.00E+00,3.46E+03,3.54E+03,5.10E+03,7.90E+02,6.33E+02,9.47E+02,1.87E+02,2.36E+02,1.93E+02,1.42E+02,2.09E+02,3.95E+01,4.96E+01,8.66E-01,1.02E+00,3.10E+01,1.83E+01,2.55E+01,2.33E+00
30,0.00E+00,1.49E+03,1.09E+03,1.47E+03,3.26E+02,2.10E+02,2.94E+02,4.02E+01,4.93E+01,7.91E+01,4.74E+01,6.54E+01,8.80E+00,1.07E+01,1.30E-01,1.50E-01,1.28E+01,6.14E+00,7.99E+00,9.53E-01
40,0.00E+00,7.83E+02,4.62E+02,5.93E+02,1.69E+02,9.28E+01,1.23E+02,1.32E+01,1.58E+01,4.09E+01,2.11E+01,2.77E+01,2.94E+00,3.49E+00,3.28E-02,3.75E-02,6.60E+00,2.73E+00,3.39E+00,4.92E-01
50,0.00E+00,4.66E+02,2.34E+02,2.89E+02,1.00E+02,4.85E+01,6.18E+01,5.49E+00,6.45E+00,2.42E+01,1.10E+01,1.39E+01,1.24E+00,1.44E+00,1.12E-02,1.27E-02,3.90E+00,1.43E+00,1.71E+00,2.91E-01
60,0.00E+00,3.02E+02,1.34E+02,1.59E+02,6.46E+01,2.82E+01,3.48E+01,2.67E+00,3.08E+00,1.56E+01,6.46E+00,7.88E+00,6.08E-01,6.96E-01,4.68E-03,5.23E-03,2.51E+00,8.40E-01,9.66E-01,1.87E-01
61.397,0.00E+00,2.85E+02,1.24E+02,1.48E+02,6.11E+01,2.64E+01,3.24E+01,2.44E+00,2.81E+00,1.47E+01,6.04E+00,7.33E+00,5.56E-01,6.35E-01,4.19E-03,4.68E-03,2.37E+00,7.84E-01,8.98E-01,1.77E-01
61.889,3.00E+03,2.80E+02,1.21E+02,1.44E+02,5.99E+01,2.57E+01,3.16E+01,2.37E+00,2.72E+00,1.44E+01,5.90E+00,7.15E+00,5.39E-01,6.15E-01,4.03E-03,4.50E-03,2.33E+00,7.66E-01,8.76E-01,1.74E-01
80,1.54E+03,1.49E+02,5.48E+01,6.18E+01,3.18E+01,1.19E+01,1.39E+01,8.57E-01,9.61E-01,7.66E+00,2.74E+00,3.16E+00,1.97E-01,2.19E-01,1.19E-03,1.30E-03,1.23E+00,3.56E-01,3.87E-01,9.21E-02
100,8.56E+02,8.47E+01,2.73E+01,2.95E+01,1.81E+01,6.05E+00,6.74E+00,3.55E-01,3.90E-01,4.36E+00,1.40E+00,1.54E+00,8.22E-02,8.90E-02,4.12E-04,4.47E-04,7.03E-01,1.82E-01,1.89E-01,5.25E-02
150,2.86E+02,2.97E+01,7.76E+00,7.70E+00,6.37E+00,1.76E+00,1.81E+00,7.32E-02,7.73E-02,1.54E+00,4.09E-01,4.14E-01,1.71E-02,1.78E-02,6.27E-05,6.66E-05,2.47E-01,5.33E-02,5.09E-02,1.85E-02
200,1.31E+02,1.40E+01,3.22E+00,3.01E+00,3.00E+00,7.41E-01,7.15E-01,2.45E-02,2.54E-02,7.25E-01,1.73E-01,1.64E-01,5.76E-03,5.90E-03,1.73E-05,1.82E-05,1.17E-01,2.25E-02,2.02E-02,8.72E-03
300,4.39E+01,4.87E+00,9.64E-01,8.37E-01,1.05E+00,2.25E-01,2.02E-01,5.58E-03,5.73E-03,2.53E-01,5.27E-02,4.65E-02,1.32E-03,1.34E-03,3.06E-06,3.25E-06,4.08E-02,6.86E-03,5.72E-03,3.05E-03
400,2.08E+01,2.35E+00,4.26E-01,3.55E-01,5.08E-01,1.00E-01,8.60E-02,2.06E-03,2.15E-03,1.23E-01,2.35E-02,1.98E-02,4.88E-04,5.02E-04,9.67E-07,1.06E-06,1.98E-02,3.06E-03,2.45E-03,1.48E-03
500,1.20E+01,1.37E+00,2.33E-01,1.89E-01,2.95E-01,5.51E-02,4.60E-02,9.88E-04,1.06E-03,7.12E-02,1.29E-02,1.06E-02,2.35E-04,2.47E-04,4.15E-07,4.71E-07,1.15E-02,1.68E-03,1.31E-03,8.58E-04
600,7.78E+00,8.90E-01,1.46E-01,1.16E-01,1.92E-01,3.45E-02,2.84E-02,5.63E-04,6.12E-04,4.65E-02,8.10E-03,6.55E-03,1.34E-04,1.44E-04,2.20E-07,2.58E-07,7.49E-03,1.06E-03,8.08E-04,5.60E-04
800,4.09E+00,4.70E-01,7.23E-02,5.69E-02,1.01E-01,1.72E-02,1.39E-02,2.42E-04,2.80E-04,2.45E-02,4.04E-03,3.21E-03,5.77E-05,6.57E-05,8.38E-08,1.07E-07,3.95E-03,5.26E-04,3.96E-04,2.97E-04
1000,2.57E+00,2.95E-01,4.37E-02,3.42E-02,6.37E-02,1.04E-02,8.36E-03,1.35E-04,1.60E-04,1.54E-02,2.45E-03,1.93E-03,3.18E-05,3.78E-05,4.31E-08,5.85E-08,2.48E-03,3.19E-04,2.39E-04,1.87E-04
1500,1.19E+00,1.36E-01,1.92E-02,1.49E-02,2.93E-02,4.59E-03,3.64E-03,5.09E-05,6.73E-05,7.08E-03,1.08E-03,8.43E-04,1.20E-05,1.56E-05,1.46E-08,2.28E-08,1.14E-03,1.40E-04,1.04E-04,8.73E-05
