PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2
4,0.00E+00,2.41E+04,2.93E+04,5.39E+04,4.62E+03,3.77E+03,6.96E+03,1.35E+03,1.93E+03,7.58E+02,5.01E+02,9.23E+02,1.79E+01,2.53E+01,7.18E+01
5,0.00E+00,1.59E+04,1.56E+04,2.83E+04,2.94E+03,2.10E+03,3.83E+03,5.92E+02,8.41E+02,4.80E+02,2.80E+02,5.10E+02,7.94E+00,1.11E+01,4.54E+01
6,0.00E+00,1.11E+04,9.18E+03,1.65E+04,2.01E+03,1.28E+03,2.31E+03,2.96E+02,4.19E+02,3.27E+02,1.71E+02,3.08E+02,4.01E+00,5.60E+00,3.09E+01
8,0.00E+00,6.14E+03,3.86E+03,6.85E+03,1.08E+03,5.65E+02,1.01E+03,9.65E+01,1.36E+02,1.75E+02,7.59E+01,1.35E+02,1.32E+00,1.83E+00,1.66E+01
10,0.00E+00,3.78E+03,1.94E+03,3.39E+03,6.58E+02,2.93E+02,5.16E+02,3.96E+01,5.52E+01,1.06E+02,3.95E+01,6.95E+01,5.46E-01,7.53E-01,1.00E+01
15,0.00E+00,1.49E+03,5.31E+02,9.08E+02,2.57E+02,8.46E+01,1.45E+02,7.46E+00,1.03E+01,4.14E+01,1.15E+01,1.97E+01,1.04E-01,1.42E-01,3.91E+00
17.944,0.00E+00,9.71E+02,2.95E+02,4.99E+02,1.67E+02,4.79E+01,8.13E+01,3.51E+00,4.80E+00,2.68E+01,6.52E+00,1.10E+01,4.92E-02,6.65E-02,2.54E+00
18.088,1.19E+04,9.53E+02,2.88E+02,4.86E+02,1.63E+02,4.67E+01,7.92E+01,3.39E+00,4.64E+00,2.63E+01,6.36E+00,1.07E+01,4.75E-02,6.42E-02,2.49E+00
20,9.25E+03,7.45E+02,2.06E+02,3.46E+02,1.28E+02,3.38E+01,5.69E+01,2.22E+00,3.02E+00,2.06E+01,4.61E+00,7.72E+00,3.11E-02,4.19E-02,1.94E+00
30,3.18E+03,2.67E+02,5.26E+01,8.56E+01,4.57E+01,8.89E+00,1.45E+01,3.89E-01,5.20E-01,7.37E+00,1.22E+00,1.98E+00,5.49E-03,7.26E-03,6.96E-01
40,1.44E+03,1.25E+02,1.96E+01,3.11E+01,2.15E+01,3.37E+00,5.36E+00,1.12E-01,1.47E-01,3.46E+00,4.63E-01,7.34E-01,1.59E-03,2.06E-03,3.27E-01
50,7.71E+02,6.85E+01,9.03E+00,1.40E+01,1.18E+01,1.57E+00,2.45E+00,4.24E-02,5.52E-02,1.90E+00,2.16E-01,3.35E-01,6.02E-04,7.74E-04,1.79E-01
60,4.58E+02,4.14E+01,4.78E+00,7.30E+00,7.13E+00,8.38E-01,1.28E+00,1.92E-02,2.47E-02,1.15E+00,1.15E-01,1.76E-01,2.73E-04,3.47E-04,1.09E-01
80,1.99E+02,1.85E+01,1.75E+00,2.59E+00,3.19E+00,3.09E-01,4.59E-01,5.52E-03,6.97E-03,5.15E-01,4.27E-02,6.31E-02,7.88E-05,9.82E-05,4.86E-02
100,1.03E+02,9.79E+00,8.02E-01,1.16E+00,1.69E+00,1.43E-01,2.07E-01,2.12E-03,2.63E-03,2.73E-01,1.98E-02,2.84E-02,3.03E-05,3.72E-05,2.58E-02
150,3.12E+01,3.04E+00,1.98E-01,2.71E-01,5.27E-01,3.56E-02,4.89E-02,3.88E-04,4.68E-04,8.52E-02,4.93E-03,6.74E-03,5.53E-06,6.65E-06,8.04E-03
200,1.34E+01,1.32E+00,7.51E-02,9.94E-02,2.30E-01,1.36E-02,1.80E-02,1.21E-04,1.44E-04,3.72E-02,1.88E-03,2.48E-03,1.72E-06,2.05E-06,3.51E-03
300,4.15E+00,4.18E-01,2.02E-02,2.57E-02,7.27E-02,3.67E-03,4.67E-03,2.52E-05,3.03E-05,1.18E-02,5.09E-04,6.45E-04,3.59E-07,4.34E-07,1.11E-03
400,1.87E+00,1.90E-01,8.38E-03,1.05E-02,3.31E-02,1.53E-03,1.91E-03,8.86E-06,1.10E-05,5.36E-03,2.11E-04,2.65E-04,1.26E-07,1.57E-07,5.06E-04
500,1.04E+00,1.06E-01,4.39E-03,5.51E-03,1.85E-02,8.01E-04,1.00E-03,4.12E-06,5.40E-06,3.00E-03,1.11E-04,1.39E-04,5.88E-08,7.65E-08,2.83E-04
600,6.63E-01,6.77E-02,2.65E-03,3.37E-03,1.18E-02,4.85E-04,6.14E-04,2.29E-06,3.09E-06,1.91E-03,6.72E-05,8.48E-05,3.24E-08,4.43E-08,1.81E-04
800,3.41E-01,3.48E-02,1.27E-03,1.64E-03,6.07E-03,2.32E-04,3.01E-04,9.55E-07,1.41E-06,9.82E-04,3.21E-05,4.16E-05,1.36E-08,2.03E-08,9.32E-05
1000,2.12E-01,2.17E-02,7.50E-04,9.96E-04,3.78E-03,1.37E-04,1.82E-04,5.19E-07,8.11E-07,6.12E-04,1.90E-05,2.52E-05,7.30E-09,1.18E-08,5.83E-05
1500,9.85E-02,1.01E-02,3.19E-04,4.47E-04,1.75E-03,5.82E-05,8.17E-05,1.97E-07,3.41E-07,2.84E-04,8.05E-06,1.13E-05,2.70E-09,5.08E-09,2.74E-05
