PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2
76.885,2.32E+03,2.24E+02,1.09E+02,1.16E+02,4.92E+01,2.38E+01,2.63E+01,2.16E+00,2.36E+00,1.23E+01,5.70E+00,6.25E+00,5.35E-01,5.80E-01,5.89E-03,6.44E-03,2.39E+00,9.57E-01,9.96E-01,3.90E-02,3.96E-02
80,2.10E+03,2.04E+02,9.68E+01,1.02E+02,4.47E+01,2.12E+01,2.32E+01,1.85E+00,2.01E+00,1.12E+01,5.08E+00,5.52E+00,4.59E-01,4.96E-01,4.89E-03,5.33E-03,2.17E+00,8.53E-01,8.80E-01,3.35E-02,3.38E-02
100,1.18E+03,1.18E+02,4.92E+01,4.91E+01,2.58E+01,1.10E+01,1.14E+01,7.79E-01,8.28E-01,6.46E+00,2.65E+00,2.73E+00,1.95E-01,2.06E-01,1.73E-03,1.86E-03,1.25E+00,4.45E-01,4.36E-01,1.43E-02,1.41E-02
150,4.04E+02,4.25E+01,1.44E+01,1.31E+01,9.31E+00,3.32E+00,3.14E+00,1.65E-01,1.68E-01,2.33E+00,8.05E-01,7.55E-01,4.18E-02,4.21E-02,2.71E-04,2.85E-04,4.52E-01,1.35E-01,1.21E-01,3.06E-03,2.90E-03
200,1.87E+02,2.04E+01,6.10E+00,5.19E+00,4.47E+00,1.43E+00,1.26E+00,5.60E-02,5.59E-02,1.12E+00,3.47E-01,3.05E-01,1.43E-02,1.41E-02,7.53E-05,7.84E-05,2.17E-01,5.85E-02,4.88E-02,1.05E-03,9.70E-04
300,6.42E+01,7.26E+00,1.88E+00,1.46E+00,1.60E+00,4.47E-01,3.63E-01,1.30E-02,1.28E-02,4.00E-01,1.09E-01,8.76E-02,3.34E-03,3.25E-03,1.37E-05,1.43E-05,7.76E-02,1.84E-02,1.40E-02,2.45E-04,2.24E-04
400,3.08E+01,3.56E+00,8.42E-01,6.25E-01,7.84E-01,2.02E-01,1.56E-01,4.85E-03,4.82E-03,1.96E-01,4.96E-02,3.78E-02,1.25E-03,1.23E-03,4.38E-06,4.64E-06,3.81E-02,8.35E-03,6.05E-03,9.18E-05,8.48E-05
500,1.79E+01,2.08E+00,4.65E-01,3.34E-01,4.60E-01,1.12E-01,8.38E-02,2.35E-03,2.38E-03,1.15E-01,2.76E-02,2.03E-02,6.06E-04,6.06E-04,1.88E-06,2.07E-06,2.23E-02,4.64E-03,3.26E-03,4.45E-05,4.19E-05
600,1.17E+01,1.37E+00,2.92E-01,2.06E-01,3.02E-01,7.08E-02,5.17E-02,1.33E-03,1.38E-03,7.56E-02,1.74E-02,1.25E-02,3.45E-04,3.53E-04,9.85E-07,1.13E-06,1.47E-02,2.93E-03,2.01E-03,2.53E-05,2.44E-05
800,6.19E+00,7.27E-01,1.47E-01,1.01E-01,1.60E-01,3.57E-02,2.53E-02,5.85E-04,6.25E-04,4.02E-02,8.76E-03,6.15E-03,1.51E-04,1.61E-04,3.85E-07,4.71E-07,7.80E-03,1.48E-03,9.87E-04,1.11E-05,1.12E-05
1000,3.90E+00,4.58E-01,8.92E-02,6.03E-02,1.01E-01,2.18E-02,1.52E-02,3.21E-04,3.60E-04,2.53E-02,5.34E-03,3.69E-03,8.30E-05,9.27E-05,1.98E-07,2.53E-07,4.91E-03,9.00E-04,5.92E-04,6.10E-06,6.47E-06
1500,1.80E+00,2.10E-01,3.95E-02,2.61E-02,4.64E-02,9.64E-03,6.58E-03,1.25E-04,1.47E-04,1.16E-02,2.37E-03,1.60E-03,3.20E-05,3.80E-05,6.76E-08,9.62E-08,2.25E-03,3.99E-04,2.57E-04,2.36E-06,2.71E-06
