PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2
3.0196,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.72E+04,1.62E+05,2.26E+05,9.21E+03,1.16E+04,2.47E+04,2.49E+04,3.46E+04,8.66E+03,1.08E+04,1.98E+03,2.09E+03,4.16E+03,1.94E+03,2.58E+03,8.42E+01
3.0438,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.80E+04,9.59E+04,1.59E+05,2.21E+05,9.09E+03,1.14E+04,2.43E+04,2.45E+04,3.40E+04,8.42E+03,1.05E+04,1.95E+03,2.07E+03,4.10E+03,1.90E+03,2.54E+03,8.30E+01
3.2719,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.51E+04,8.48E+04,1.30E+05,1.83E+05,8.09E+03,1.02E+04,2.13E+04,2.06E+04,2.84E+04,6.48E+03,8.10E+03,1.72E+03,1.83E+03,3.57E+03,1.60E+03,2.12E+03,7.30E+01
3.2981,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.30E+04,3.48E+04,8.36E+04,1.28E+05,1.79E+05,7.98E+03,1.00E+04,2.10E+04,2.02E+04,2.79E+04,6.29E+03,7.86E+03,1.70E+03,1.80E+03,3.52E+03,1.57E+03,2.08E+03,7.20E+01
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.82E+04,2.68E+04,5.95E+04,7.51E+04,1.03E+05,5.78E+03,7.27E+03,1.45E+04,1.24E+04,1.70E+04,3.08E+03,3.83E+03,1.21E+03,1.29E+03,2.42E+03,9.69E+02,1.27E+03,5.26E+01
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E+04,1.92E+04,3.91E+04,3.91E+04,5.29E+04,3.93E+03,4.87E+03,9.27E+03,6.85E+03,9.24E+03,1.31E+03,1.62E+03,8.13E+02,8.53E+02,1.53E+03,5.42E+02,6.93E+02,3.52E+01
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.81E+03,1.40E+04,2.71E+04,2.24E+04,3.01E+04,2.84E+03,3.45E+03,6.31E+03,4.11E+03,5.49E+03,6.37E+02,7.85E+02,5.82E+02,6.00E+02,1.04E+03,3.27E+02,4.13E+02,2.52E+01
8,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.03E+03,8.08E+03,1.45E+04,9.01E+03,1.19E+04,1.67E+03,1.93E+03,3.34E+03,1.76E+03,2.31E+03,1.98E+02,2.42E+02,3.38E+02,3.34E+02,5.49E+02,1.41E+02,1.75E+02,1.46E+01
10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.04E+03,5.09E+03,8.65E+03,4.33E+03,5.63E+03,1.09E+03,1.20E+03,1.99E+03,8.84E+02,1.14E+03,7.77E+01,9.43E+01,2.20E+02,2.07E+02,3.26E+02,7.11E+01,8.71E+01,9.51E+00
11.555,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.09E+03,3.71E+03,6.11E+03,2.66E+03,3.43E+03,8.23E+02,8.72E+02,1.40E+03,5.57E+02,7.13E+02,4.18E+01,5.06E+01,1.65E+02,1.50E+02,2.30E+02,4.50E+01,5.46E+01,7.15E+00
11.647,0.00E+00,0.00E+00,0.00E+00,3.69E+04,3.05E+03,3.64E+03,5.99E+03,2.59E+03,3.33E+03,8.10E+02,8.57E+02,1.37E+03,5.43E+02,6.94E+02,4.04E+01,4.88E+01,1.63E+02,1.47E+02,2.26E+02,4.38E+01,5.32E+01,7.04E+00
13.301,0.00E+00,0.00E+00,0.00E+00,2.56E+04,2.36E+03,2.70E+03,4.31E+03,1.64E+03,2.09E+03,6.23E+02,6.33E+02,9.90E+02,3.52E+02,4.46E+02,2.27E+01,2.73E+01,1.25E+02,1.09E+02,1.63E+02,2.85E+01,3.42E+01,5.40E+00
13.407,0.00E+00,0.00E+00,1.62E+04,2.51E+04,2.33E+03,2.65E+03,4.22E+03,1.60E+03,2.04E+03,6.13E+02,6.21E+02,9.70E+02,3.42E+02,4.34E+02,2.19E+01,2.64E+01,1.23E+02,1.07E+02,1.60E+02,2.77E+01,3.33E+01,5.31E+00
13.855,0.00E+00,0.00E+00,1.51E+04,2.30E+04,2.18E+03,2.46E+03,3.89E+03,1.42E+03,1.81E+03,5.74E+02,5.76E+02,8.94E+02,3.07E+02,3.88E+02,1.90E+01,2.28E+01,1.15E+02,9.87E+01,1.47E+02,2.49E+01,2.98E+01,4.97E+00
13.965,0.00E+00,8.16E+03,1.48E+04,2.26E+04,2.15E+03,2.41E+03,3.81E+03,1.39E+03,1.76E+03,5.65E+02,5.65E+02,8.76E+02,2.99E+02,3.78E+02,1.83E+01,2.20E+01,1.13E+02,9.69E+01,1.44E+02,2.43E+01,2.90E+01,4.89E+00
15,0.00E+00,7.19E+03,1.22E+04,1.86E+04,1.87E+03,2.04E+03,3.17E+03,1.08E+03,1.37E+03,4.89E+02,4.78E+02,7.30E+02,2.35E+02,2.96E+02,1.34E+01,1.60E+01,9.78E+01,8.19E+01,1.20E+02,1.91E+01,2.28E+01,4.23E+00
20,0.00E+00,4.31E+03,5.77E+03,8.08E+03,1.05E+03,1.01E+03,1.49E+03,3.87E+02,4.80E+02,2.71E+02,2.38E+02,3.44E+02,8.77E+01,1.08E+02,3.68E+00,4.36E+00,5.39E+01,4.08E+01,5.66E+01,7.16E+00,8.34E+00,2.33E+00
30,0.00E+00,1.93E+03,1.87E+03,2.41E+03,4.46E+02,3.56E+02,4.80E+02,8.73E+01,1.04E+02,1.14E+02,8.43E+01,1.12E+02,2.06E+01,2.44E+01,5.75E-01,6.70E-01,2.26E+01,1.44E+01,1.85E+01,1.69E+00,1.90E+00,9.76E-01
40,0.00E+00,1.05E+03,8.20E+02,9.92E+02,2.36E+02,1.64E+02,2.08E+02,2.95E+01,3.44E+01,5.99E+01,3.89E+01,4.89E+01,7.12E+00,8.23E+00,1.51E-01,1.71E-01,1.19E+01,6.75E+00,8.07E+00,5.87E-01,6.43E-01,5.14E-01
50,0.00E+00,6.39E+02,4.26E+02,4.91E+02,1.42E+02,8.80E+01,1.06E+02,1.26E+01,1.43E+01,3.59E+01,2.10E+01,2.52E+01,3.08E+00,3.48E+00,5.29E-02,5.94E-02,7.12E+00,3.65E+00,4.16E+00,2.55E-01,2.73E-01,3.08E-01
60,0.00E+00,4.20E+02,2.48E+02,2.75E+02,9.30E+01,5.24E+01,6.08E+01,6.23E+00,6.96E+00,2.34E+01,1.26E+01,1.45E+01,1.54E+00,1.71E+00,2.25E-02,2.49E-02,4.66E+00,2.18E+00,2.39E+00,1.28E-01,1.34E-01,2.01E-01
78.577,0.00E+00,2.22E+02,1.10E+02,1.15E+02,4.88E+01,2.41E+01,2.63E+01,2.20E+00,2.38E+00,1.23E+01,5.82E+00,6.29E+00,5.51E-01,5.94E-01,6.34E-03,6.92E-03,2.44E+00,1.01E+00,1.04E+00,4.57E-02,4.67E-02,1.05E-01
79.206,2.23E+03,2.18E+02,1.08E+02,1.12E+02,4.79E+01,2.35E+01,2.56E+01,2.13E+00,2.31E+00,1.20E+01,5.68E+00,6.13E+00,5.34E-01,5.76E-01,6.11E-03,6.66E-03,2.40E+00,9.87E-01,1.02E+00,4.44E-02,4.53E-02,1.03E-01
80,2.15E+03,2.12E+02,1.05E+02,1.09E+02,4.67E+01,2.29E+01,2.48E+01,2.05E+00,2.22E+00,1.18E+01,5.52E+00,5.95E+00,5.14E-01,5.53E-01,5.83E-03,6.36E-03,2.34E+00,9.59E-01,9.85E-01,4.27E-02,4.35E-02,1.01E-01
100,1.22E+03,1.23E+02,5.33E+01,5.26E+01,2.70E+01,1.19E+01,1.23E+01,8.65E-01,9.15E-01,6.80E+00,2.89E+00,2.95E+00,2.19E-01,2.30E-01,2.07E-03,2.22E-03,1.35E+00,5.02E-01,4.89E-01,1.82E-02,1.81E-02,5.83E-02
150,4.22E+02,4.46E+01,1.57E+01,1.41E+01,9.79E+00,3.62E+00,3.38E+00,1.84E-01,1.86E-01,2.46E+00,8.83E-01,8.19E-01,4.71E-02,4.72E-02,3.25E-04,3.41E-04,4.90E-01,1.54E-01,1.36E-01,3.92E-03,3.75E-03,2.11E-02
200,1.96E+02,2.14E+01,6.65E+00,5.58E+00,4.71E+00,1.56E+00,1.36E+00,6.25E-02,6.21E-02,1.19E+00,3.82E-01,3.31E-01,1.61E-02,1.58E-02,9.06E-05,9.40E-05,2.36E-01,6.66E-02,5.50E-02,1.35E-03,1.26E-03,1.02E-02
300,6.75E+01,7.66E+00,2.05E+00,1.58E+00,1.69E+00,4.90E-01,3.92E-01,1.45E-02,1.42E-02,4.26E-01,1.21E-01,9.55E-02,3.78E-03,3.66E-03,1.65E-05,1.72E-05,8.46E-02,2.10E-02,1.59E-02,3.16E-04,2.91E-04,3.65E-03
400,3.25E+01,3.76E+00,9.24E-01,6.74E-01,8.31E-01,2.23E-01,1.69E-01,5.44E-03,5.37E-03,2.09E-01,5.49E-02,4.12E-02,1.42E-03,1.38E-03,5.29E-06,5.62E-06,4.16E-02,9.56E-03,6.85E-03,1.19E-04,1.10E-04,1.79E-03
500,1.89E+01,2.21E+00,5.11E-01,3.61E-01,4.88E-01,1.24E-01,9.08E-02,2.63E-03,2.65E-03,1.23E-01,3.05E-02,2.21E-02,6.88E-04,6.84E-04,2.29E-06,2.50E-06,2.45E-02,5.32E-03,3.69E-03,5.75E-05,5.46E-05,1.05E-03
600,1.23E+01,1.45E+00,3.21E-01,2.22E-01,3.21E-01,7.81E-02,5.60E-02,1.50E-03,1.54E-03,8.08E-02,1.93E-02,1.37E-02,3.92E-04,3.99E-04,1.19E-06,1.35E-06,1.61E-02,3.36E-03,2.28E-03,3.27E-05,3.18E-05,6.93E-04
800,6.54E+00,7.71E-01,1.62E-01,1.09E-01,1.71E-01,3.94E-02,2.74E-02,6.57E-04,6.97E-04,4.30E-02,9.74E-03,6.71E-03,1.72E-04,1.82E-04,4.74E-07,5.64E-07,8.55E-03,1.70E-03,1.12E-03,1.43E-05,1.46E-05,3.69E-04
1000,4.12E+00,4.86E-01,9.83E-02,6.51E-02,1.07E-01,2.40E-02,1.64E-02,3.61E-04,4.02E-04,2.71E-02,5.94E-03,4.02E-03,9.46E-05,1.05E-04,2.37E-07,3.11E-07,5.39E-03,1.04E-03,6.71E-04,7.91E-06,8.39E-06,2.33E-04
1500,1.90E+00,2.23E-01,4.36E-02,2.81E-02,4.93E-02,1.07E-02,7.12E-03,1.42E-04,1.64E-04,1.24E-02,2.64E-03,1.74E-03,3.64E-05,4.31E-05,8.79E-08,1.18E-07,2.47E-03,4.60E-04,2.90E-04,3.05E-06,3.49E-06,1.08E-04
