PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,7s1/2
3.6406,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.59E+05,2.20E+05,8.07E+03,1.03E+04,2.37E+04,2.55E+04,3.51E+04,1.17E+04,1.45E+04,2.13E+03,2.43E+03,5.23E+03,4.10E+03,5.57E+03,3.92E+02,3.55E+02,6.92E+02,1.36E+01
3.6698,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.33E+04,1.56E+05,2.15E+05,7.97E+03,1.01E+04,2.33E+04,2.50E+04,3.44E+04,1.14E+04,1.41E+04,2.10E+03,2.40E+03,5.16E+03,4.03E+03,5.46E+03,3.87E+02,3.50E+02,6.82E+02,1.34E+01
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.37E+04,1.24E+05,1.69E+05,6.96E+03,8.93E+03,1.99E+04,2.04E+04,2.79E+04,8.37E+03,1.04E+04,1.82E+03,2.09E+03,4.38E+03,3.29E+03,4.44E+03,3.33E+02,3.04E+02,5.79E+02,1.16E+01
4.3091,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.59E+04,1.00E+05,1.36E+05,6.18E+03,7.96E+03,1.73E+04,1.71E+04,2.32E+04,6.40E+03,7.91E+03,1.60E+03,1.85E+03,3.80E+03,2.75E+03,3.69E+03,2.93E+02,2.68E+02,5.01E+02,1.02E+01
4.3436,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.47E+04,6.50E+04,9.80E+04,1.33E+05,6.10E+03,7.86E+03,1.71E+04,1.67E+04,2.27E+04,6.21E+03,7.68E+03,1.58E+03,1.82E+03,3.74E+03,2.70E+03,3.62E+03,2.89E+02,2.64E+02,4.93E+02,1.00E+01
4.619,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.30E+04,5.82E+04,8.22E+04,1.12E+05,5.52E+03,7.14E+03,1.52E+04,1.44E+04,1.94E+04,4.96E+03,6.13E+03,1.42E+03,1.64E+03,3.32E+03,2.32E+03,3.10E+03,2.59E+02,2.38E+02,4.37E+02,9.03E+00
4.656,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.53E+04,2.28E+04,5.74E+04,8.05E+04,1.09E+05,5.45E+03,7.05E+03,1.50E+04,1.41E+04,1.90E+04,4.82E+03,5.95E+03,1.40E+03,1.62E+03,3.27E+03,2.28E+03,3.04E+03,2.55E+02,2.34E+02,4.31E+02,8.90E+00
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.38E+04,2.12E+04,5.01E+04,6.62E+04,8.91E+04,4.84E+03,6.27E+03,1.30E+04,1.18E+04,1.58E+04,3.70E+03,4.56E+03,1.24E+03,1.44E+03,2.84E+03,1.90E+03,2.53E+03,2.25E+02,2.07E+02,3.74E+02,7.85E+00
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E+04,1.63E+04,3.58E+04,3.89E+04,5.17E+04,3.56E+03,4.60E+03,9.04E+03,7.30E+03,9.68E+03,1.86E+03,2.28E+03,8.98E+02,1.04E+03,1.96E+03,1.19E+03,1.56E+03,1.62E+02,1.49E+02,2.57E+02,5.68E+00
8,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.02E+03,1.03E+04,1.99E+04,1.63E+04,2.12E+04,2.15E+03,2.72E+03,4.92E+03,3.29E+03,4.27E+03,6.04E+02,7.33E+02,5.32E+02,6.05E+02,1.06E+03,5.39E+02,6.92E+02,9.54E+01,8.58E+01,1.40E+02,3.36E+00
10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.85E+03,6.84E+03,1.22E+04,8.03E+03,1.03E+04,1.43E+03,1.75E+03,3.00E+03,1.71E+03,2.18E+03,2.45E+02,2.95E+02,3.51E+02,3.88E+02,6.44E+02,2.82E+02,3.56E+02,6.26E+01,5.64E+01,8.52E+01,2.21E+00
15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.35E+03,2.98E+03,4.70E+03,2.10E+03,2.61E+03,6.59E+02,7.46E+02,1.15E+03,4.84E+02,5.98E+02,4.48E+01,5.31E+01,1.60E+02,1.64E+02,2.47E+02,8.10E+01,9.89E+01,2.83E+01,2.38E+01,3.26E+01,1.01E+00
15.018,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.34E+03,2.97E+03,4.69E+03,2.10E+03,2.60E+03,6.58E+02,7.44E+02,1.15E+03,4.82E+02,5.96E+02,4.45E+01,5.28E+01,1.60E+02,1.63E+02,2.46E+02,8.07E+01,9.85E+01,2.83E+01,2.38E+01,3.25E+01,1.00E+00
15.139,0.00E+00,0.00E+00,0.00E+00,2.72E+04,2.31E+03,2.92E+03,4.60E+03,2.04E+03,2.53E+03,6.48E+02,7.31E+02,1.12E+03,4.70E+02,5.80E+02,4.30E+01,5.10E+01,1.57E+02,1.61E+02,2.41E+02,7.87E+01,9.60E+01,2.78E+01,2.33E+01,3.19E+01,9.87E-01
17.954,0.00E+00,0.00E+00,0.00E+00,1.69E+04,1.67E+03,2.00E+03,3.00E+03,1.14E+03,1.39E+03,4.62E+02,4.99E+02,7.34E+02,2.70E+02,3.28E+02,2.06E+01,2.42E+01,1.12E+02,1.09E+02,1.58E+02,4.53E+01,5.45E+01,2.01E+01,1.59E+01,2.09E+01,7.02E-01
18.098,0.00E+00,0.00E+00,1.16E+04,1.66E+04,1.64E+03,1.97E+03,2.94E+03,1.11E+03,1.35E+03,4.55E+02,4.90E+02,7.20E+02,2.63E+02,3.19E+02,1.99E+01,2.34E+01,1.10E+02,1.07E+02,1.54E+02,4.42E+01,5.30E+01,1.97E+01,1.56E+01,2.04E+01,6.91E-01
18.628,0.00E+00,0.00E+00,1.09E+04,1.54E+04,1.55E+03,1.84E+03,2.73E+03,1.00E+03,1.22E+03,4.29E+02,4.59E+02,6.69E+02,2.39E+02,2.89E+02,1.75E+01,2.06E+01,1.04E+02,1.01E+02,1.44E+02,4.02E+01,4.81E+01,1.86E+01,1.46E+01,1.90E+01,6.51E-01
18.778,0.00E+00,5.71E+03,1.07E+04,1.50E+04,1.53E+03,1.81E+03,2.67E+03,9.74E+02,1.18E+03,4.22E+02,4.50E+02,6.55E+02,2.32E+02,2.81E+02,1.69E+01,1.99E+01,1.02E+02,9.87E+01,1.41E+02,3.91E+01,4.68E+01,1.83E+01,1.44E+01,1.86E+01,6.41E-01
20,0.00E+00,5.12E+03,8.98E+03,1.26E+04,1.35E+03,1.56E+03,2.27E+03,7.81E+02,9.45E+02,3.72E+02,3.89E+02,5.58E+02,1.88E+02,2.27E+02,1.29E+01,1.51E+01,8.98E+01,8.53E+01,1.20E+02,3.17E+01,3.78E+01,1.61E+01,1.24E+01,1.58E+01,5.64E-01
30,0.00E+00,2.44E+03,3.15E+03,3.89E+03,5.95E+02,5.88E+02,7.67E+02,1.84E+02,2.14E+02,1.61E+02,1.47E+02,1.90E+02,4.67E+01,5.41E+01,2.11E+00,2.42E+00,3.86E+01,3.22E+01,4.09E+01,7.96E+00,9.11E+00,6.91E+00,4.68E+00,5.41E+00,2.42E-01
40,0.00E+00,1.37E+03,1.44E+03,1.63E+03,3.23E+02,2.83E+02,3.41E+02,6.43E+01,7.26E+01,8.63E+01,7.08E+01,8.52E+01,1.68E+01,1.89E+01,5.71E-01,6.45E-01,2.07E+01,1.55E+01,1.84E+01,2.87E+00,3.17E+00,3.71E+00,2.26E+00,2.43E+00,1.30E-01
50,0.00E+00,8.53E+02,7.70E+02,8.24E+02,1.98E+02,1.57E+02,1.79E+02,2.81E+01,3.09E+01,5.26E+01,3.95E+01,4.48E+01,7.46E+00,8.18E+00,2.06E-01,2.29E-01,1.26E+01,8.68E+00,9.68E+00,1.28E+00,1.38E+00,2.26E+00,1.26E+00,1.28E+00,7.89E-02
60,0.00E+00,5.72E+02,4.58E+02,4.67E+02,1.31E+02,9.60E+01,1.04E+02,1.42E+01,1.53E+01,3.48E+01,2.43E+01,2.62E+01,3.82E+00,4.10E+00,8.92E-02,9.83E-02,8.32E+00,5.33E+00,5.67E+00,6.57E-01,6.93E-01,1.49E+00,7.76E-01,7.50E-01,5.21E-02
80,0.00E+00,2.97E+02,2.00E+02,1.88E+02,6.73E+01,4.35E+01,4.36E+01,4.79E+00,4.99E+00,1.78E+01,1.11E+01,1.11E+01,1.31E+00,1.36E+00,2.39E-02,2.58E-02,4.26E+00,2.44E+00,2.39E+00,2.27E-01,2.31E-01,7.63E-01,3.55E-01,3.17E-01,2.67E-02
100,0.00E+00,1.76E+02,1.05E+02,9.26E+01,3.97E+01,2.33E+01,2.20E+01,2.06E+00,2.09E+00,1.05E+01,5.96E+00,5.60E+00,5.72E-01,5.78E-01,8.63E-03,9.18E-03,2.51E+00,1.32E+00,1.21E+00,9.91E-02,9.84E-02,4.49E-01,1.91E-01,1.61E-01,1.57E-02
101.52,0.00E+00,1.70E+02,1.00E+02,8.82E+01,3.83E+01,2.24E+01,2.10E+01,1.95E+00,1.98E+00,1.01E+01,5.72E+00,5.35E+00,5.41E-01,5.46E-01,8.06E-03,8.56E-03,2.42E+00,1.27E+00,1.16E+00,9.37E-02,9.29E-02,4.33E-01,1.83E-01,1.53E-01,1.51E-02
102.33,1.61E+03,1.67E+02,9.77E+01,8.60E+01,3.75E+01,2.19E+01,2.04E+01,1.89E+00,1.92E+00,9.92E+00,5.59E+00,5.22E+00,5.25E-01,5.29E-01,7.77E-03,8.26E-03,2.37E+00,1.24E+00,1.13E+00,9.09E-02,9.01E-02,4.25E-01,1.79E-01,1.50E-01,1.48E-02
150,6.10E+02,6.59E+01,3.21E+01,2.54E+01,1.48E+01,7.43E+00,6.24E+00,4.52E-01,4.39E-01,3.91E+00,1.91E+00,1.61E+00,1.27E-01,1.23E-01,1.40E-03,1.43E-03,9.37E-01,4.24E-01,3.48E-01,2.21E-02,2.10E-02,1.67E-01,6.14E-02,4.61E-02,5.86E-03
200,2.90E+02,3.24E+01,1.40E+01,1.02E+01,7.29E+00,3.30E+00,2.56E+00,1.57E-01,1.49E-01,1.93E+00,8.54E-01,6.62E-01,4.46E-02,4.20E-02,3.99E-04,4.03E-04,4.61E-01,1.89E-01,1.44E-01,7.77E-03,7.19E-03,8.24E-02,2.75E-02,1.90E-02,2.88E-03
300,1.03E+02,1.20E+01,4.45E+00,2.94E+00,2.69E+00,1.08E+00,7.53E-01,3.73E-02,3.45E-02,7.12E-01,2.79E-01,1.95E-01,1.07E-02,9.80E-03,7.36E-05,7.38E-05,1.70E-01,6.20E-02,4.24E-02,1.86E-03,1.69E-03,3.04E-02,9.00E-03,5.62E-03,1.07E-03
400,5.03E+01,5.99E+00,2.04E+00,1.27E+00,1.35E+00,4.99E-01,3.27E-01,1.41E-02,1.31E-02,3.57E-01,1.30E-01,8.49E-02,4.05E-03,3.74E-03,2.35E-05,2.43E-05,8.54E-02,2.89E-02,1.85E-02,7.08E-04,6.44E-04,1.53E-02,4.19E-03,2.45E-03,5.35E-04
500,2.96E+01,3.56E+00,1.15E+00,6.82E-01,8.03E-01,2.82E-01,1.77E-01,6.94E-03,6.52E-03,2.12E-01,7.35E-02,4.59E-02,2.00E-03,1.87E-03,1.05E-05,1.12E-05,5.08E-02,1.63E-02,9.99E-03,3.50E-04,3.21E-04,9.08E-03,2.37E-03,1.33E-03,3.19E-04
600,1.95E+01,2.36E+00,7.28E-01,4.20E-01,5.33E-01,1.80E-01,1.09E-01,3.97E-03,3.79E-03,1.41E-01,4.69E-02,2.84E-02,1.15E-03,1.09E-03,5.57E-06,5.99E-06,3.37E-02,1.04E-02,6.18E-03,2.00E-04,1.87E-04,6.02E-03,1.51E-03,8.21E-04,2.12E-04
800,1.05E+01,1.27E+00,3.70E-01,2.05E-01,2.86E-01,9.17E-02,5.35E-02,1.74E-03,1.72E-03,7.57E-02,2.40E-02,1.39E-02,5.04E-04,4.93E-04,2.12E-06,2.47E-06,1.81E-02,5.33E-03,3.03E-03,8.81E-05,8.53E-05,3.24E-03,7.73E-04,4.03E-04,1.14E-04
1000,6.62E+00,8.04E-01,2.27E-01,1.22E-01,1.81E-01,5.64E-02,3.20E-02,9.74E-04,9.85E-04,4.79E-02,1.48E-02,8.33E-03,2.82E-04,2.85E-04,1.12E-06,1.37E-06,1.15E-02,3.28E-03,1.81E-03,4.93E-05,4.91E-05,2.05E-03,4.76E-04,2.41E-04,7.30E-05
1500,3.06E+00,3.70E-01,1.02E-01,5.24E-02,8.33E-02,2.53E-02,1.37E-02,3.77E-04,4.01E-04,2.20E-02,6.62E-03,3.57E-03,1.09E-04,1.16E-04,4.07E-07,5.30E-07,5.26E-03,1.47E-03,7.77E-04,1.91E-05,2.01E-05,9.42E-04,2.14E-04,1.04E-04,3.46E-05
