PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2
6.2087,0.00E+00,0.00E+00,3.76E+04,6.72E+04,5.16E+03,5.50E+03,9.79E+03,3.59E+03,4.95E+03,1.24E+03,1.15E+03,2.04E+03,6.46E+02,8.87E+02,2.56E+00,3.19E+00,2.18E+02,1.66E+02,2.88E+02,2.05E+01
6.5076,0.00E+00,0.00E+00,3.40E+04,5.95E+04,4.71E+03,4.93E+03,8.72E+03,3.06E+03,4.20E+03,1.13E+03,1.03E+03,1.81E+03,5.53E+02,7.58E+02,2.08E+00,2.59E+00,1.99E+02,1.49E+02,2.57E+02,1.86E+01
6.5597,0.00E+00,1.90E+04,3.33E+04,5.84E+04,4.64E+03,4.84E+03,8.55E+03,2.97E+03,4.08E+03,1.11E+03,1.01E+03,1.78E+03,5.38E+02,7.38E+02,2.01E+00,2.50E+00,1.95E+02,1.46E+02,2.52E+02,1.83E+01
8,0.00E+00,1.37E+04,2.00E+04,3.40E+04,3.15E+03,2.99E+03,5.18E+03,1.48E+03,2.01E+03,7.47E+02,6.28E+02,1.08E+03,2.74E+02,3.73E+02,8.22E-01,1.02E+00,1.31E+02,9.02E+01,1.53E+02,1.23E+01
10,0.00E+00,9.03E+03,1.08E+04,1.78E+04,2.01E+03,1.71E+03,2.88E+03,6.61E+02,8.92E+02,4.72E+02,3.59E+02,6.03E+02,1.26E+02,1.69E+02,2.97E-01,3.66E-01,8.25E+01,5.15E+01,8.53E+01,7.75E+00
15,0.00E+00,4.06E+03,3.37E+03,5.33E+03,8.57E+02,5.79E+02,9.34E+02,1.45E+02,1.92E+02,1.99E+02,1.23E+02,1.97E+02,2.86E+01,3.77E+01,4.47E-02,5.47E-02,3.47E+01,1.78E+01,2.79E+01,3.26E+00
20,0.00E+00,2.20E+03,1.43E+03,2.18E+03,4.55E+02,2.58E+02,4.02E+02,4.77E+01,6.22E+01,1.05E+02,5.49E+01,8.56E+01,9.58E+00,1.25E+01,1.12E-02,1.36E-02,1.84E+01,8.00E+00,1.21E+01,1.72E+00
30,0.00E+00,8.82E+02,4.10E+02,5.96E+02,1.79E+02,7.83E+01,1.16E+02,9.52E+00,1.21E+01,4.13E+01,1.68E+01,2.50E+01,1.95E+00,2.48E+00,1.53E-03,1.82E-03,7.22E+00,2.45E+00,3.55E+00,6.74E-01
40,0.00E+00,4.45E+02,1.65E+02,2.31E+02,8.97E+01,3.26E+01,4.66E+01,2.97E+00,3.70E+00,2.07E+01,7.05E+00,1.01E+01,6.16E-01,7.66E-01,3.68E-04,4.35E-04,3.61E+00,1.03E+00,1.43E+00,3.37E-01
40.42,0.00E+00,4.33E+02,1.60E+02,2.23E+02,8.74E+01,3.16E+01,4.51E+01,2.84E+00,3.54E+00,2.01E+01,6.83E+00,9.74E+00,5.91E-01,7.34E-01,3.49E-04,4.13E-04,3.52E+00,9.96E-01,1.38E+00,3.29E-01
40.744,4.86E+03,4.25E+02,1.56E+02,2.18E+02,8.57E+01,3.08E+01,4.39E+01,2.75E+00,3.43E+00,1.97E+01,6.66E+00,9.49E+00,5.72E-01,7.10E-01,3.36E-04,3.96E-04,3.45E+00,9.72E-01,1.35E+00,3.22E-01
50,2.86E+03,2.56E+02,8.07E+01,1.10E+02,5.17E+01,1.63E+01,2.26E+01,1.19E+00,1.46E+00,1.19E+01,3.54E+00,4.90E+00,2.49E-01,3.05E-01,1.21E-04,1.42E-04,2.08E+00,5.16E-01,6.96E-01,1.94E-01
60,1.77E+03,1.62E+02,4.48E+01,5.92E+01,3.26E+01,9.17E+00,1.24E+01,5.64E-01,6.81E-01,7.50E+00,2.00E+00,2.69E+00,1.19E-01,1.42E-01,4.91E-05,5.69E-05,1.31E+00,2.92E-01,3.83E-01,1.22E-01
80,8.11E+02,7.68E+01,1.76E+01,2.22E+01,1.55E+01,3.67E+00,4.74E+00,1.74E-01,2.04E-01,3.57E+00,8.03E-01,1.03E+00,3.68E-02,4.30E-02,1.18E-05,1.35E-05,6.23E-01,1.17E-01,1.47E-01,5.82E-02
100,4.38E+02,4.25E+01,8.48E+00,1.04E+01,8.59E+00,1.80E+00,2.24E+00,6.99E-02,8.07E-02,1.98E+00,3.94E-01,4.88E-01,1.49E-02,1.70E-02,3.98E-06,4.50E-06,3.46E-01,5.76E-02,6.97E-02,3.23E-02
150,1.40E+02,1.42E+01,2.28E+00,2.60E+00,2.89E+00,4.93E-01,5.72E-01,1.38E-02,1.54E-02,6.65E-01,1.08E-01,1.25E-01,2.95E-03,3.27E-03,5.79E-07,6.43E-07,1.16E-01,1.59E-02,1.79E-02,1.09E-02
200,6.24E+01,6.50E+00,9.13E-01,9.93E-01,1.32E+00,1.99E-01,2.20E-01,4.48E-03,4.95E-03,3.05E-01,4.39E-02,4.84E-02,9.63E-04,1.06E-03,1.56E-07,1.72E-07,5.33E-02,6.43E-03,6.91E-03,4.98E-03
300,2.03E+01,2.18E+00,2.62E-01,2.69E-01,4.44E-01,5.78E-02,6.03E-02,9.85E-04,1.09E-03,1.02E-01,1.28E-02,1.33E-02,2.13E-04,2.32E-04,2.68E-08,3.01E-08,1.79E-02,1.87E-03,1.89E-03,1.67E-03
400,9.44E+00,1.03E+00,1.13E-01,1.13E-01,2.10E-01,2.50E-02,2.53E-02,3.59E-04,4.00E-04,4.84E-02,5.55E-03,5.58E-03,7.75E-05,8.62E-05,8.42E-09,9.77E-09,8.46E-03,8.11E-04,7.97E-04,7.91E-04
500,5.36E+00,5.86E-01,6.08E-02,5.96E-02,1.20E-01,1.35E-02,1.34E-02,1.71E-04,1.95E-04,2.77E-02,2.99E-03,2.96E-03,3.67E-05,4.23E-05,3.57E-09,4.35E-09,4.84E-03,4.38E-04,4.24E-04,4.53E-04
600,3.45E+00,3.78E-01,3.75E-02,3.66E-02,7.74E-02,8.36E-03,8.25E-03,9.54E-05,1.14E-04,1.79E-02,1.85E-03,1.82E-03,2.06E-05,2.46E-05,1.84E-09,2.34E-09,3.13E-03,2.70E-04,2.60E-04,2.93E-04
800,1.79E+00,1.97E-01,1.83E-02,1.79E-02,4.04E-02,4.09E-03,4.05E-03,4.08E-05,5.22E-05,9.33E-03,9.07E-04,8.93E-04,8.82E-06,1.12E-05,7.13E-10,9.89E-10,1.63E-03,1.33E-04,1.28E-04,1.53E-04
1000,1.12E+00,1.24E-01,1.10E-02,1.08E-02,2.53E-02,2.45E-03,2.44E-03,2.25E-05,2.96E-05,5.83E-03,5.44E-04,5.39E-04,4.80E-06,6.45E-06,3.60E-10,5.50E-10,1.02E-03,7.95E-05,7.72E-05,9.65E-05
1500,5.19E-01,5.69E-02,4.76E-03,4.76E-03,1.16E-02,1.06E-03,1.08E-03,8.42E-06,1.27E-05,2.69E-03,2.36E-04,2.38E-04,1.81E-06,2.68E-06,1.39E-10,2.36E-10,4.70E-04,3.45E-05,3.42E-05,4.54E-05
