PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2
30,0.00E+00,2.21E+03,2.53E+03,3.17E+03,5.28E+02,4.76E+02,6.29E+02,1.34E+02,1.58E+02,1.39E+02,1.16E+02,1.52E+02,3.30E+01,3.86E+01,1.23E+00,1.42E+00,3.08E+01,2.30E+01,2.93E+01,4.52E+00,5.15E+00,4.30E+00,1.11E+00,1.17E+00
40,0.00E+00,1.23E+03,1.13E+03,1.32E+03,2.83E+02,2.24E+02,2.76E+02,4.61E+01,5.28E+01,7.39E+01,5.49E+01,6.73E+01,1.17E+01,1.33E+01,3.28E-01,3.73E-01,1.64E+01,1.09E+01,1.30E+01,1.60E+00,1.78E+00,2.29E+00,5.24E-01,5.17E-01
50,0.00E+00,7.56E+02,5.98E+02,6.61E+02,1.72E+02,1.23E+02,1.43E+02,1.99E+01,2.23E+01,4.48E+01,3.02E+01,3.51E+01,5.12E+00,5.69E+00,1.17E-01,1.31E-01,9.91E+00,6.01E+00,6.78E+00,7.06E-01,7.64E-01,1.38E+00,2.88E-01,2.70E-01
60,0.00E+00,5.03E+02,3.52E+02,3.72E+02,1.13E+02,7.42E+01,8.28E+01,9.97E+00,1.09E+01,2.94E+01,1.83E+01,2.04E+01,2.60E+00,2.83E+00,5.02E-02,5.57E-02,6.51E+00,3.67E+00,3.94E+00,3.59E-01,3.80E-01,9.09E-01,1.75E-01,1.57E-01
80,0.00E+00,2.58E+02,1.51E+02,1.49E+02,5.77E+01,3.30E+01,3.43E+01,3.33E+00,3.54E+00,1.49E+01,8.22E+00,8.49E+00,8.81E-01,9.29E-01,1.33E-02,1.43E-02,3.32E+00,1.65E+00,1.65E+00,1.22E-01,1.25E-01,4.61E-01,7.87E-02,6.55E-02
90.809,0.00E+00,1.91E+02,1.04E+02,9.91E+01,4.26E+01,2.30E+01,2.32E+01,2.06E+00,2.15E+00,1.10E+01,5.75E+00,5.75E+00,5.46E-01,5.68E-01,7.37E-03,7.88E-03,2.45E+00,1.15E+00,1.11E+00,7.59E-02,7.67E-02,3.40E-01,5.50E-02,4.44E-02
91.536,1.86E+03,1.87E+02,1.02E+02,9.66E+01,4.18E+01,2.25E+01,2.26E+01,1.99E+00,2.08E+00,1.08E+01,5.62E+00,5.61E+00,5.30E-01,5.51E-01,7.10E-03,7.59E-03,2.40E+00,1.13E+00,1.09E+00,7.36E-02,7.44E-02,3.34E-01,5.38E-02,4.33E-02
100,1.49E+03,1.51E+02,7.82E+01,7.27E+01,3.37E+01,1.75E+01,1.71E+01,1.42E+00,1.47E+00,8.73E+00,4.37E+00,4.26E+00,3.80E-01,3.91E-01,4.73E-03,5.03E-03,1.94E+00,8.77E-01,8.27E-01,5.28E-02,5.28E-02,2.69E-01,4.18E-02,3.29E-02
150,5.23E+02,5.58E+01,2.35E+01,1.97E+01,1.24E+01,5.45E+00,4.81E+00,3.08E-01,3.05E-01,3.21E+00,1.37E+00,1.20E+00,8.33E-02,8.20E-02,7.60E-04,7.87E-04,7.13E-01,2.76E-01,2.34E-01,1.16E-02,1.11E-02,9.91E-02,1.32E-02,9.32E-03
200,2.46E+02,2.72E+01,1.01E+01,7.89E+00,6.05E+00,2.39E+00,1.96E+00,1.06E-01,1.02E-01,1.57E+00,6.04E-01,4.93E-01,2.89E-02,2.77E-02,2.14E-04,2.20E-04,3.47E-01,1.22E-01,9.57E-02,4.03E-03,3.77E-03,4.83E-02,5.80E-03,3.82E-03
300,8.58E+01,9.88E+00,3.18E+00,2.25E+00,2.21E+00,7.66E-01,5.70E-01,2.48E-02,2.36E-02,5.71E-01,1.94E-01,1.44E-01,6.83E-03,6.43E-03,3.90E-05,3.99E-05,1.27E-01,3.92E-02,2.80E-02,9.55E-04,8.78E-04,1.76E-02,1.87E-03,1.12E-03
400,4.17E+01,4.90E+00,1.45E+00,9.68E-01,1.10E+00,3.52E-01,2.47E-01,9.41E-03,8.98E-03,2.84E-01,8.96E-02,6.23E-02,2.60E-03,2.45E-03,1.28E-05,1.32E-05,6.30E-02,1.80E-02,1.22E-02,3.63E-04,3.36E-04,8.76E-03,8.61E-04,4.85E-04
500,2.44E+01,2.90E+00,8.07E-01,5.19E-01,6.49E-01,1.97E-01,1.33E-01,4.58E-03,4.44E-03,1.68E-01,5.03E-02,3.36E-02,1.27E-03,1.21E-03,5.52E-06,5.94E-06,3.73E-02,1.01E-02,6.56E-03,1.77E-04,1.66E-04,5.18E-03,4.83E-04,2.62E-04
600,1.60E+01,1.91E+00,5.10E-01,3.20E-01,4.28E-01,1.25E-01,8.21E-02,2.61E-03,2.58E-03,1.11E-01,3.20E-02,2.08E-02,7.24E-04,7.08E-04,2.90E-06,3.24E-06,2.46E-02,6.44E-03,4.05E-03,1.01E-04,9.69E-05,3.42E-03,3.07E-04,1.62E-04
800,8.55E+00,1.02E+00,2.58E-01,1.56E-01,2.29E-01,6.35E-02,4.02E-02,1.14E-03,1.17E-03,5.93E-02,1.62E-02,1.02E-02,3.17E-04,3.22E-04,1.12E-06,1.31E-06,1.32E-02,3.27E-03,1.99E-03,4.43E-05,4.41E-05,1.83E-03,1.56E-04,7.97E-05
1000,5.40E+00,6.47E-01,1.58E-01,9.35E-02,1.45E-01,3.90E-02,2.41E-02,6.34E-04,6.74E-04,3.75E-02,9.96E-03,6.10E-03,1.77E-04,1.85E-04,5.81E-07,7.41E-07,8.31E-03,2.01E-03,1.19E-03,2.47E-05,2.54E-05,1.16E-03,9.60E-05,4.79E-05
1500,2.49E+00,2.97E-01,7.03E-02,4.02E-02,6.65E-02,1.74E-02,1.04E-02,2.46E-04,2.71E-04,1.72E-02,4.45E-03,2.62E-03,6.84E-05,7.55E-05,2.01E-07,2.85E-07,3.82E-03,8.96E-04,5.12E-04,9.51E-06,1.04E-05,5.32E-04,4.31E-05,2.10E-05
