PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2
11.912,1.89E+04,1.44E+03,4.10E+02,7.30E+02,2.21E+02,5.76E+01,1.03E+02,3.22E+00,4.53E+00,2.19E+01,1.77E+00,3.09E+00
15,1.06E+04,8.14E+02,1.89E+02,3.33E+02,1.25E+02,2.71E+01,4.77E+01,1.20E+00,1.67E+00,1.24E+01,8.32E-01,1.44E+00
20,4.90E+03,3.92E+02,7.06E+01,1.23E+02,6.02E+01,1.03E+01,1.79E+01,3.41E-01,4.72E-01,5.96E+00,3.18E-01,5.41E-01
30,1.60E+03,1.34E+02,1.71E+01,2.90E+01,2.06E+01,2.55E+00,4.32E+00,5.70E-02,7.71E-02,2.04E+00,7.89E-02,1.31E-01
40,7.05E+02,6.07E+01,6.14E+00,1.02E+01,9.38E+00,9.29E-01,1.54E+00,1.58E-02,2.11E-02,9.29E-01,2.87E-02,4.67E-02
50,3.69E+02,3.24E+01,2.76E+00,4.50E+00,5.02E+00,4.20E-01,6.84E-01,5.83E-03,7.70E-03,4.97E-01,1.30E-02,2.08E-02
60,2.16E+02,1.93E+01,1.43E+00,2.30E+00,2.99E+00,2.19E-01,3.51E-01,2.59E-03,3.38E-03,2.96E-01,6.79E-03,1.07E-02
80,9.17E+01,8.38E+00,5.08E-01,7.93E-01,1.30E+00,7.84E-02,1.22E-01,7.24E-04,9.30E-04,1.29E-01,2.43E-03,3.71E-03
100,4.69E+01,4.35E+00,2.28E-01,3.48E-01,6.77E-01,3.54E-02,5.37E-02,2.73E-04,3.46E-04,6.71E-02,1.10E-03,1.64E-03
150,1.38E+01,1.31E+00,5.43E-02,7.92E-02,2.04E-01,8.47E-03,1.23E-02,4.82E-05,5.98E-05,2.02E-02,2.62E-04,3.76E-04
200,5.83E+00,5.59E-01,2.01E-02,2.85E-02,8.72E-02,3.15E-03,4.44E-03,1.47E-05,1.81E-05,8.66E-03,9.77E-05,1.36E-04
300,1.77E+00,1.72E-01,5.27E-03,7.24E-03,2.69E-02,8.28E-04,1.13E-03,2.99E-06,3.74E-06,2.67E-03,2.57E-05,3.45E-05
400,7.93E-01,7.74E-02,2.15E-03,2.93E-03,1.21E-02,3.39E-04,4.59E-04,1.04E-06,1.35E-06,1.20E-03,1.05E-05,1.40E-05
500,4.38E-01,4.29E-02,1.12E-03,1.53E-03,6.72E-03,1.76E-04,2.39E-04,4.80E-07,6.47E-07,6.67E-04,5.44E-06,7.33E-06
600,2.77E-01,2.72E-02,6.73E-04,9.30E-04,4.26E-03,1.06E-04,1.46E-04,2.63E-07,3.74E-07,4.22E-04,3.27E-06,4.47E-06
800,1.42E-01,1.39E-02,3.19E-04,4.55E-04,2.18E-03,5.01E-05,7.15E-05,1.10E-07,1.69E-07,2.16E-04,1.55E-06,2.20E-06
1000,8.83E-02,8.67E-03,1.87E-04,2.77E-04,1.36E-03,2.94E-05,4.34E-05,5.85E-08,9.93E-08,1.35E-04,9.09E-07,1.34E-06
1500,4.11E-02,4.03E-03,7.89E-05,1.24E-04,6.31E-04,1.24E-05,1.96E-05,2.19E-08,4.11E-08,6.28E-05,3.84E-07,6.13E-07
