PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2
2.8103,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.21E+04,1.04E+05,1.76E+05,2.46E+05,9.89E+03,1.23E+04,2.62E+04,2.64E+04,3.68E+04,8.72E+03,1.09E+04,2.03E+03,2.12E+03,4.21E+03,1.27E+03,1.71E+03,1.99E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.87E+04,9.33E+04,1.47E+05,2.07E+05,8.90E+03,1.11E+04,2.33E+04,2.26E+04,3.14E+04,6.89E+03,8.62E+03,1.82E+03,1.90E+03,3.73E+03,1.09E+03,1.46E+03,1.78E+02
3.0286,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.83E+04,9.18E+04,1.43E+05,2.02E+05,8.76E+03,1.09E+04,2.29E+04,2.21E+04,3.07E+04,6.65E+03,8.33E+03,1.79E+03,1.87E+03,3.66E+03,1.06E+03,1.43E+03,1.75E+02
3.0528,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.52E+04,3.80E+04,9.05E+04,1.41E+05,1.98E+05,8.65E+03,1.08E+04,2.25E+04,2.17E+04,3.01E+04,6.46E+03,8.09E+03,1.76E+03,1.84E+03,3.61E+03,1.04E+03,1.40E+03,1.72E+02
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.77E+04,2.60E+04,5.64E+04,6.63E+04,9.13E+04,5.49E+03,6.83E+03,1.34E+04,1.09E+04,1.49E+04,2.36E+03,2.94E+03,1.10E+03,1.14E+03,2.13E+03,5.29E+02,7.01E+02,1.08E+02
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.27E+04,1.84E+04,3.67E+04,3.42E+04,4.65E+04,3.71E+03,4.54E+03,8.52E+03,5.97E+03,8.07E+03,9.95E+02,1.23E+03,7.34E+02,7.52E+02,1.34E+03,2.93E+02,3.78E+02,7.22E+01
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.44E+03,1.32E+04,2.52E+04,1.95E+04,2.63E+04,2.67E+03,3.19E+03,5.78E+03,3.56E+03,4.76E+03,4.81E+02,5.93E+02,5.24E+02,5.25E+02,9.08E+02,1.75E+02,2.24E+02,5.15E+01
8,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.76E+03,7.54E+03,1.34E+04,7.79E+03,1.03E+04,1.56E+03,1.77E+03,3.03E+03,1.51E+03,1.98E+03,1.48E+02,1.81E+02,3.03E+02,2.89E+02,4.76E+02,7.47E+01,9.39E+01,2.99E+01
10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.84E+03,4.69E+03,7.93E+03,3.72E+03,4.85E+03,1.02E+03,1.09E+03,1.79E+03,7.50E+02,9.72E+02,5.76E+01,7.00E+01,1.96E+02,1.78E+02,2.81E+02,3.74E+01,4.63E+01,1.93E+01
10.865,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.29E+03,3.90E+03,6.49E+03,2.81E+03,3.64E+03,8.65E+02,9.05E+02,1.47E+03,5.74E+02,7.41E+02,4.03E+01,4.89E+01,1.67E+02,1.48E+02,2.30E+02,2.87E+01,3.53E+01,1.64E+01
10.952,0.00E+00,0.00E+00,0.00E+00,3.94E+04,3.24E+03,3.83E+03,6.37E+03,2.73E+03,3.54E+03,8.51E+02,8.89E+02,1.44E+03,5.60E+02,7.21E+02,3.90E+01,4.72E+01,1.64E+02,1.45E+02,2.26E+02,2.79E+01,3.44E+01,1.61E+01
12.412,0.00E+00,0.00E+00,0.00E+00,2.81E+04,2.55E+03,2.89E+03,4.67E+03,1.78E+03,2.29E+03,6.64E+02,6.67E+02,1.06E+03,3.72E+02,4.75E+02,2.26E+01,2.73E+01,1.28E+02,1.09E+02,1.66E+02,1.86E+01,2.27E+01,1.26E+01
12.511,0.00E+00,0.00E+00,1.74E+04,2.75E+04,2.51E+03,2.83E+03,4.58E+03,1.73E+03,2.22E+03,6.54E+02,6.55E+02,1.04E+03,3.62E+02,4.62E+02,2.18E+01,2.63E+01,1.26E+02,1.07E+02,1.62E+02,1.81E+01,2.21E+01,1.24E+01
12.942,0.00E+00,0.00E+00,1.62E+04,2.52E+04,2.35E+03,2.62E+03,4.20E+03,1.54E+03,1.97E+03,6.11E+02,6.06E+02,9.52E+02,3.23E+02,4.12E+02,1.88E+01,2.27E+01,1.17E+02,9.86E+01,1.49E+02,1.62E+01,1.97E+01,1.16E+01
13.045,0.00E+00,8.84E+03,1.59E+04,2.47E+04,2.32E+03,2.57E+03,4.12E+03,1.49E+03,1.92E+03,6.01E+02,5.94E+02,9.33E+02,3.15E+02,4.01E+02,1.82E+01,2.19E+01,1.16E+02,9.68E+01,1.46E+02,1.58E+01,1.92E+01,1.14E+01
15,0.00E+00,6.95E+03,1.11E+04,1.68E+04,1.76E+03,1.85E+03,2.88E+03,9.16E+02,1.16E+03,4.54E+02,4.27E+02,6.53E+02,1.97E+02,2.48E+02,9.78E+00,1.17E+01,8.70E+01,6.95E+01,1.02E+02,9.89E+00,1.19E+01,8.56E+00
20,0.00E+00,4.11E+03,5.14E+03,7.26E+03,9.83E+02,9.08E+02,1.34E+03,3.26E+02,4.06E+02,2.50E+02,2.11E+02,3.05E+02,7.26E+01,8.97E+01,2.67E+00,3.17E+00,4.78E+01,3.43E+01,4.80E+01,3.67E+00,4.33E+00,4.70E+00
30,0.00E+00,1.82E+03,1.65E+03,2.14E+03,4.15E+02,3.15E+02,4.28E+02,7.27E+01,8.75E+01,1.04E+02,7.35E+01,9.87E+01,1.68E+01,2.01E+01,4.13E-01,4.82E-01,1.99E+01,1.20E+01,1.55E+01,8.54E-01,9.75E-01,1.95E+00
40,0.00E+00,9.81E+02,7.15E+02,8.78E+02,2.19E+02,1.43E+02,1.84E+02,2.44E+01,2.86E+01,5.47E+01,3.36E+01,4.27E+01,5.77E+00,6.72E+00,1.07E-01,1.22E-01,1.04E+01,5.54E+00,6.72E+00,2.94E-01,3.27E-01,1.02E+00
50,0.00E+00,5.94E+02,3.69E+02,4.33E+02,1.31E+02,7.64E+01,9.35E+01,1.03E+01,1.19E+01,3.27E+01,1.80E+01,2.19E+01,2.48E+00,2.83E+00,3.74E-02,4.21E-02,6.25E+00,2.97E+00,3.45E+00,1.27E-01,1.38E-01,6.12E-01
60,0.00E+00,3.89E+02,2.14E+02,2.41E+02,8.54E+01,4.53E+01,5.33E+01,5.10E+00,5.75E+00,2.13E+01,1.07E+01,1.25E+01,1.24E+00,1.38E+00,1.58E-02,1.76E-02,4.06E+00,1.77E+00,1.98E+00,6.32E-02,6.75E-02,3.98E-01
74.024,0.00E+00,2.36E+02,1.13E+02,1.22E+02,5.16E+01,2.46E+01,2.77E+01,2.25E+00,2.48E+00,1.28E+01,5.85E+00,6.52E+00,5.52E-01,6.04E-01,5.87E-03,6.45E-03,2.45E+00,9.66E-01,1.03E+00,2.83E-02,2.95E-02,2.40E-01
74.617,2.40E+03,2.31E+02,1.11E+02,1.19E+02,5.06E+01,2.40E+01,2.70E+01,2.18E+00,2.41E+00,1.26E+01,5.72E+00,6.36E+00,5.35E-01,5.85E-01,5.66E-03,6.21E-03,2.40E+00,9.44E-01,1.00E+00,2.74E-02,2.86E-02,2.35E-01
80,2.01E+03,1.95E+02,8.96E+01,9.50E+01,4.27E+01,1.96E+01,2.16E+01,1.67E+00,1.82E+00,1.06E+01,4.67E+00,5.11E+00,4.09E-01,4.44E-01,4.08E-03,4.46E-03,2.03E+00,7.71E-01,8.07E-01,2.10E-02,2.17E-02,1.99E-01
100,1.13E+03,1.13E+02,4.54E+01,4.58E+01,2.46E+01,1.01E+01,1.07E+01,7.00E-01,7.48E-01,6.12E+00,2.43E+00,2.53E+00,1.73E-01,1.84E-01,1.44E-03,1.55E-03,1.17E+00,4.01E-01,3.99E-01,8.90E-03,9.01E-03,1.14E-01
150,3.85E+02,4.05E+01,1.32E+01,1.22E+01,8.84E+00,3.05E+00,2.92E+00,1.48E-01,1.51E-01,2.20E+00,7.34E-01,6.96E-01,3.70E-02,3.75E-02,2.25E-04,2.37E-04,4.20E-01,1.21E-01,1.10E-01,1.90E-03,1.85E-03,4.11E-02
200,1.78E+02,1.94E+01,5.58E+00,4.82E+00,4.24E+00,1.31E+00,1.17E+00,5.00E-02,5.02E-02,1.05E+00,3.16E-01,2.80E-01,1.26E-02,1.25E-02,6.22E-05,6.49E-05,2.01E-01,5.22E-02,4.44E-02,6.49E-04,6.18E-04,1.97E-02
300,6.09E+01,6.87E+00,1.71E+00,1.36E+00,1.51E+00,4.07E-01,3.35E-01,1.16E-02,1.15E-02,3.76E-01,9.88E-02,8.03E-02,2.94E-03,2.88E-03,1.13E-05,1.18E-05,7.18E-02,1.63E-02,1.27E-02,1.51E-04,1.42E-04,7.03E-03
400,2.92E+01,3.36E+00,7.67E-01,5.79E-01,7.39E-01,1.84E-01,1.44E-01,4.32E-03,4.32E-03,1.84E-01,4.47E-02,3.46E-02,1.10E-03,1.09E-03,3.60E-06,3.86E-06,3.52E-02,7.40E-03,5.49E-03,5.66E-05,5.39E-05,3.45E-03
500,1.69E+01,1.97E+00,4.23E-01,3.09E-01,4.33E-01,1.02E-01,7.73E-02,2.09E-03,2.13E-03,1.08E-01,2.48E-02,1.86E-02,5.33E-04,5.36E-04,1.56E-06,1.71E-06,2.06E-02,4.11E-03,2.95E-03,2.74E-05,2.66E-05,2.02E-03
600,1.11E+01,1.29E+00,2.65E-01,1.90E-01,2.84E-01,6.41E-02,4.77E-02,1.18E-03,1.24E-03,7.07E-02,1.56E-02,1.15E-02,3.02E-04,3.12E-04,8.06E-07,9.31E-07,1.35E-02,2.59E-03,1.82E-03,1.56E-05,1.55E-05,1.32E-03
800,5.85E+00,6.84E-01,1.33E-01,9.32E-02,1.51E-01,3.23E-02,2.34E-02,5.19E-04,5.60E-04,3.75E-02,7.87E-03,5.62E-03,1.32E-04,1.43E-04,3.20E-07,3.86E-07,7.17E-03,1.30E-03,8.94E-04,6.81E-06,7.11E-06,7.04E-04
1000,3.68E+00,4.31E-01,8.08E-02,5.59E-02,9.48E-02,1.97E-02,1.40E-02,2.85E-04,3.22E-04,2.36E-02,4.79E-03,3.38E-03,7.28E-05,8.18E-05,1.60E-07,2.13E-07,4.51E-03,7.94E-04,5.36E-04,3.75E-06,4.09E-06,4.44E-04
1500,1.70E+00,1.98E-01,3.57E-02,2.42E-02,4.35E-02,8.70E-03,6.07E-03,1.11E-04,1.33E-04,1.09E-02,2.12E-03,1.46E-03,2.80E-05,3.36E-05,5.87E-08,7.87E-08,2.07E-03,3.52E-04,2.33E-04,1.44E-06,1.70E-06,2.06E-04
