Atom    Auger Transition/Notation(Barkla)    Auger Transition/Notation(Orbital)      Auger Energies/Core State Energies
Ce      M2,N6,P1                             3p1/2 4f5/2 6s1/2                                                     5.8
Ce      M2,N7,N7                             3p1/2 4f7/2 4f7/2                                                     7.45
Ce      M2,N7,P1                             3p1/2 4f7/2 6s1/2                                                     5.42
Ce      M2,P1,P1                             3p1/2 6s1/2 6s1/2                                                     3.4
Pr      N6                                   4f 5/2                                                                7.65
Pr      N7                                   4f 7/2                                                                7.24
Pr      P1                                   6s 1/2                                                                4.89
Pr      M1,N3,N6                             3s1/2 4p3/2 4f5/2                                                     6.12
Pr      M1,N3,N7                             3s1/2 4p3/2 4f7/2                                                     5.69
Pr      M1,N3,P1                             3s1/2 4p3/2 6s1/2                                                     3.06
Pr      M1,N5,N5                             3s1/2 4d5/2 4d5/2                                                    16.71
Pr      M2,O1,O1                             3p1/2 5s1/2 5s1/2                                                    16
Nd      N6                                   4f 5/2                                                                8.32
Nd      N7                                   4f 7/2                                                                7.85
Nd      P1                                   6s 1/2                                                                4.96
Nd      M1,N2,O1                             3s1/2 4p1/2 5s1/2                                                     6.22
Nd      M2,N4,N6                             3p1/2 4d3/2 4f5/2                                                     1.26
Nd      M2,N4,N7                             3p1/2 4d3/2 4f7/2                                                     0.76
Nd      M2,N4,O3                             3p1/2 4d3/2 5p3/2                                                    17.84
Nd      M2,N5,O2                             3p1/2 4d5/2 5p1/2                                                    16.95
Nd      M2,N5,O3                             3p1/2 4d5/2 5p3/2                                                    13.58
Nd      M3,N6,O2                             3p3/2 4f5/2 5p1/2                                                     3.64
Nd      M3,N6,O3                             3p3/2 4f5/2 5p3/2                                                     0.27
Nd      M3,N7,O2                             3p3/2 4f7/2 5p1/2                                                     3.14
Nd      M3,O1,P1                             3p3/2 5s1/2 6s1/2                                                    17.03
Nd      M3,O2,P1                             3p3/2 5p1/2 6s1/2                                                     0.03
Nd      M3,O3,O3                             3p3/2 5p3/2 5p3/2                                                    16.84
Pm      N6                                   4f 5/2                                                                8.88
Pm      N7                                   4f 7/2                                                                8.35
Pm      P1                                   6s 1/2                                                                5.03
Pm      M1,N1,O1                             3s1/2 4s1/2 5s1/2                                                    10.93
Pm      M1,N3,N4                             3s1/2 4p3/2 4d3/2                                                    11.69
Pm      M1,N3,N5                             3s1/2 4p3/2 4d5/2                                                     7.02
Pm      M3,O1,O1                             3p3/2 5s1/2 5s1/2                                                     0.71
Sm      N6                                   4f 5/2                                                                9.37
Sm      N7                                   4f 7/2                                                                8.75
Sm      P1                                   6s 1/2                                                                5.09
Sm      M2,N2,N6                             3p1/2 4p1/2 4f5/2                                                    15.01
Sm      M2,N2,N7                             3p1/2 4p1/2 4f7/2                                                    14.35
Sm      M2,N2,P1                             3p1/2 4p1/2 6s1/2                                                    10.56
Sm      M2,N3,O2                             3p1/2 4p3/2 5p1/2                                                     7.08
Sm      M2,N3,O3                             3p1/2 4p3/2 5p3/2                                                     3.17
Sm      M2,N4,N4                             3p1/2 4d3/2 4d3/2                                                    10.86
Sm      M2,N4,N5                             3p1/2 4d3/2 4d5/2                                                     5.76
Sm      M2,N5,N5                             3p1/2 4d5/2 4d5/2                                                     0.66
Sm      M3,N4,N6                             3p3/2 4d3/2 4f5/2                                                     0.05
Sm      M3,N4,O3                             3p3/2 4d3/2 5p3/2                                                    16.77
Sm      M3,N5,O2                             3p3/2 4d5/2 5p1/2                                                    15.58
Sm      M3,N5,O3                             3p3/2 4d5/2 5p3/2                                                    11.67
Eu      N6                                   4f 5/2                                                                9.77
Eu      N7                                   4f 7/2                                                                9.08
Eu      P1                                   6s 1/2                                                                5.16
Eu      M1,N1,N4                             3s1/2 4s1/2 4d3/2                                                     1.21
Eu      M1,N3,N3                             3s1/2 4p3/2 4p3/2                                                    15.86
Eu      M2,N2,O1                             3p1/2 4p1/2 5s1/2                                                     2.21
Gd      N6                                   4f 5/2                                                               17.03
Gd      N7                                   4f 7/2                                                               16.2
Gd      O4                                   5d 3/2                                                                5.19
Gd      O5                                   5d 5/2                                                                4.85
Gd      P1                                   6s 1/2                                                                5.71
Gd      M1,N2,N2                             3s1/2 4p1/2 4p1/2                                                    16.3
Gd      M2,N1,O1                             3p1/2 4s1/2 5s1/2                                                     5
Gd      M2,N3,N4                             3p1/2 4p3/2 4d3/2                                                     8.02
Gd      M2,N3,N5                             3p1/2 4p3/2 4d5/2                                                     1.95
Gd      M3,N3,N6                             3p3/2 4p3/2 4f5/2                                                     5.46
Gd      M3,N3,N7                             3p3/2 4p3/2 4f7/2                                                     4.62
Tb      N6                                   4f 5/2                                                               10.39
Tb      N7                                   4f 7/2                                                                9.53
Tb      P1                                   6s 1/2                                                                5.29
Tb      M1,N1,N3                             3s1/2 4s1/2 4p3/2                                                     0.39
Tb      M3,N2,O2                             3p3/2 4p1/2 5p1/2                                                    12.14
Tb      M3,N2,O3                             3p3/2 4p1/2 5p3/2                                                     7.33
Tb      M4,N6,O2                             3d3/2 4f5/2 5p1/2                                                    17.76
Tb      M4,N6,O3                             3d3/2 4f5/2 5p3/2                                                    12.95
Tb      M4,N7,O2                             3d3/2 4f7/2 5p1/2                                                    16.85
Tb      M4,N7,O3                             3d3/2 4f7/2 5p3/2                                                    12.03
Tb      M4,O2,P1                             3d3/2 5p1/2 6s1/2                                                    12.57
Tb      M4,O3,P1                             3d3/2 5p3/2 6s1/2                                                     7.76
Tb      M5,P1,P1                             3d5/2 6s1/2 6s1/2                                                    19.64
Dy      N6                                   4f 5/2                                                               10.62
Dy      N7                                   4f 7/2                                                                9.66
Dy      P1                                   6s 1/2                                                                5.35
Dy      M2,N1,N4                             3p1/2 4s1/2 4d3/2                                                     5.32
Dy      M2,N3,N3                             3p1/2 4p3/2 4p3/2                                                    16.46
Dy      M3,N1,N6                             3p3/2 4s1/2 4f5/2                                                    14.49
Dy      M3,N1,N7                             3p3/2 4s1/2 4f7/2                                                    13.47
Dy      M3,N1,P1                             3p3/2 4s1/2 6s1/2                                                     9.16
Dy      M4,O1,O2                             3d3/2 5s1/2 5p1/2                                                     4.91
Dy      M5,N6,O1                             3d5/2 4f5/2 5s1/2                                                    19.24
Dy      M5,N7,O1                             3d5/2 4f7/2 5s1/2                                                    18.22
Dy      M5,O1,P1                             3d5/2 5s1/2 6s1/2                                                    13.92
Dy      M5,O2,O3                             3d5/2 5p1/2 5p3/2                                                    15.91
Dy      M5,O3,O3                             3d5/2 5p3/2 5p3/2                                                    10.77
Ho      N6                                   4f 5/2                                                               10.8
Ho      N7                                   4f 7/2                                                                9.73
Ho      P1                                   6s 1/2                                                                5.42
Ho      M1,N1,N1                             3s1/2 4s1/2 4s1/2                                                     8.3
