Atom    Auger Transition/Notation      Auger Energies/Core State Energies
Sc      L1,M3,M4                                                   444.81
Sc      L1,M3,M5                                                   444.86
Sc      L1,M3,N1                                                   446.46
Sc      L1,M4,M4                                                   478.82
Sc      L1,M4,M5                                                   478.87
Sc      L1,M4,N1                                                   480.47
Sc      L1,M5,M5                                                   478.91
Sc      L1,M5,N1                                                   480.51
Sc      L1,N1,N1                                                   482.11
Sc      L2,M1,M1                                                   284.16
Sc      L2,M1,M2                                                   306.57
Sc      L2,M1,M3                                                   307.18
Sc      L2,M1,M4                                                   341.19
Sc      L2,M1,M5                                                   341.23
Sc      L2,M1,N1                                                   342.83
Sc      L2,M2,M2                                                   328.98
Sc      L2,M2,M3                                                   329.59
Sc      L2,M2,M4                                                   363.59
Sc      L2,M2,M5                                                   363.64
Sc      L2,M2,N1                                                   365.24
Sc      L2,M3,M3                                                   330.2
Sc      L2,M3,M4                                                   364.2
Sc      L2,M3,M5                                                   364.25
Sc      L2,M3,N1                                                   365.85
Sc      L2,M4,M4                                                   398.21
Sc      L2,M4,M5                                                   398.25
Sc      L2,M4,N1                                                   399.86
Sc      L2,M5,M5                                                   398.3
Sc      L2,M5,N1                                                   399.9
Sc      L2,N1,N1                                                   401.5
Sc      L3,M1,M1                                                   279.34
Sc      L3,M1,M2                                                   301.75
Sc      L3,M1,M3                                                   302.36
Sc      L3,M1,M4                                                   336.37
Sc      L3,M1,M5                                                   336.41
Sc      L3,M1,N1                                                   338.01
Sc      L3,M2,M2                                                   324.16
Sc      L3,M2,M3                                                   324.77
Sc      L3,M2,M4                                                   358.77
Sc      L3,M2,M5                                                   358.82
Sc      L3,M2,N1                                                   360.42
Sc      L3,M3,M3                                                   325.38
Sc      L3,M3,M4                                                   359.38
Sc      L3,M3,M5                                                   359.43
Sc      L3,M3,N1                                                   361.03
Sc      L3,M4,M4                                                   393.39
Sc      L3,M4,M5                                                   393.44
Sc      L3,M4,N1                                                   395.04
Sc      L3,M5,M5                                                   393.48
Sc      L3,M5,N1                                                   395.08
Sc      L3,N1,N1                                                   396.68
Sc      M1,M2,M4                                                    10.82
Sc      M1,M2,M5                                                    10.87
Sc      M1,M2,N1                                                    12.47
Sc      M1,M3,M4                                                    11.43
Sc      M1,M3,M5                                                    11.48
Sc      M1,M3,N1                                                    13.08
Sc      M1,M4,M4                                                    45.44
Sc      M1,M4,M5                                                    45.48
Sc      M1,M4,N1                                                    47.08
Sc      M1,M5,M5                                                    45.53
Sc      M1,M5,N1                                                    47.13
Sc      M1,N1,N1                                                    48.73
Sc      M2,M4,M4                                                    24.13
Sc      M2,M4,M5                                                    24.18
Sc      M2,M4,N1                                                    25.78
Sc      M2,M5,M5                                                    24.22
Sc      M2,M5,N1                                                    25.82
Sc      M2,N1,N1                                                    27.42
Sc      M3,M4,M4                                                    23.59
Sc      M3,M4,M5                                                    23.64
Sc      M3,M4,N1                                                    25.24
Sc      M3,M5,M5                                                    23.68
Sc      M3,M5,N1                                                    25.28
Sc      M3,N1,N1                                                    26.88
Ti      L2                                                         471.22
Ti      L3                                                         465.24
Ti      M1                                                          68.61
Ti      M2                                                          45.1
Ti      M3                                                          44.42
Ti      L1,L2,M4                                                    46.89
Ti      L1,L2,M5                                                    46.96
Ti      L1,L2,N1                                                    49.44
Ti      L1,L3,M2                                                    14.68
Ti      L1,L3,M3                                                    15.45
Ti      L1,L3,M4                                                    53.55
Ti      L1,L3,M5                                                    53.62
Ti      L1,L3,N1                                                    56.1
Ti      L1,M1,M1                                                   412.41
Ti      L1,M1,M2                                                   437.05
Ti      L1,M1,M3                                                   437.82
Ti      L1,M1,M4                                                   475.93
Ti      L1,M1,M5                                                   475.99
Ti      L1,M1,N1                                                   478.47
Ti      L1,M2,M2                                                   461.69
Ti      L1,M2,M3                                                   462.46
Ti      L1,M3,M3                                                   463.23
Ti      L2,M1,M1                                                   326.19
Ti      L2,M1,M2                                                   350.83
Ti      L2,M1,M3                                                   351.6
Ti      L2,M1,M4                                                   389.71
Ti      L2,M1,M5                                                   389.77
Ti      L2,M1,N1                                                   392.25
Ti      L2,M2,M2                                                   375.47
Ti      L2,M2,M3                                                   376.24
Ti      L2,M2,M4                                                   414.35
Ti      L2,M2,M5                                                   414.41
