Atom    Auger Transition/Notation      Auger Energies/Core State Energies
Tb      N5                                                         154.29
Tb      N6                                                          10.39
Tb      O1                                                          52.17
Tb      O2                                                          32.24
Tb      O3                                                          27.59
Tb      L1,L2,N4                                                    83.47
Tb      L1,L2,N5                                                    90.04
Tb      L1,L2,N6                                                   236.8
Tb      L1,L2,N7                                                   237.71
Tb      L1,L2,O1                                                   194.38
Tb      L1,L2,O2                                                   214.65
Tb      L1,L2,O3                                                   219.46
Tb      L1,L2,P1                                                   241.98
Tb      L2,L3,N1                                                   371.46
Tb      L2,L3,N2                                                   445.06
Tb      L2,L3,N3                                                   481.45
Tb      M1,M2,N6                                                   133.14
Tb      M1,M2,N7                                                   134.05
Tb      M1,M2,O1                                                    90.73
Tb      M1,M2,O2                                                   111
Tb      M1,M2,O3                                                   115.81
Tb      M1,M2,P1                                                   138.33
Tb      M1,M3,N3                                                    20.05
Tb      M1,M3,N4                                                   142.52
Tb      M1,M3,N5                                                   149.09
Tb      M1,M3,N6                                                   295.85
Tb      M1,M3,N7                                                   296.76
Tb      M1,M3,O1                                                   253.43
Tb      M1,M3,O2                                                   273.7
Tb      M1,M3,O3                                                   278.51
Tb      M1,M3,P1                                                   301.03
Tb      M1,M4,N1                                                   231.71
Tb      M1,M4,N2                                                   305.31
Tb      M1,M4,N3                                                   341.7
Tb      M1,M4,N4                                                   464.17
Tb      M1,M4,N5                                                   470.74
Tb      M1,M5,N1                                                   267.46
Tb      M1,M5,N2                                                   341.06
Tb      M1,M5,N3                                                   377.45
Tb      M1,M5,N4                                                   499.92
Tb      M2,M3,N6                                                   113.45
Tb      M2,M3,N7                                                   114.36
Tb      M2,M3,O1                                                    71.03
Tb      M2,M3,O2                                                    91.3
Tb      M2,M3,O3                                                    96.11
Tb      M2,M3,P1                                                   118.63
Tb      M2,M4,N1                                                    49.31
Tb      M2,M4,N2                                                   122.91
Tb      M2,M4,N3                                                   159.3
Tb      M2,M4,N4                                                   281.77
Tb      M2,M4,N5                                                   288.34
Tb      M2,M4,N6                                                   435.1
Tb      M2,M4,N7                                                   436.01
Tb      M2,M4,O1                                                   392.68
Tb      M2,M4,O2                                                   412.95
Tb      M2,M4,O3                                                   417.76
Tb      M2,M4,P1                                                   440.28
Tb      M2,M5,N1                                                    85.06
Tb      M2,M5,N2                                                   158.66
Tb      M2,M5,N3                                                   195.05
Tb      M2,M5,N4                                                   317.52
Tb      M2,M5,N5                                                   324.09
Tb      M2,M5,N6                                                   470.85
Tb      M2,M5,N7                                                   471.76
Tb      M2,M5,O1                                                   428.43
Tb      M2,M5,O2                                                   448.7
Tb      M2,M5,O3                                                   453.51
Tb      M2,M5,P1                                                   476.03
Tb      M3,M4,N4                                                   125.17
Tb      M3,M4,N5                                                   131.74
Tb      M3,M4,N6                                                   278.5
Tb      M3,M4,N7                                                   279.4
Tb      M3,M4,O1                                                   236.08
Tb      M3,M4,O2                                                   256.35
Tb      M3,M4,O3                                                   261.16
Tb      M3,M4,P1                                                   283.68
Tb      M3,M5,N3                                                    38.45
Tb      M3,M5,N4                                                   160.92
Tb      M3,M5,N5                                                   167.49
Tb      M3,M5,N6                                                   314.25
Tb      M3,M5,N7                                                   315.15
Tb      M3,M5,O1                                                   271.83
Tb      M3,M5,O2                                                   292.1
Tb      M3,M5,O3                                                   296.91
Tb      M3,M5,P1                                                   319.43
Tb      M4,N1,N1                                                   486.41
Tb      M5,N1,N1                                                   452.01
Tb      N1,N2,N6                                                    55.19
Tb      N1,N2,N7                                                    56.1
Tb      N1,N2,O1                                                    12.78
Tb      N1,N2,O2                                                    33.05
Tb      N1,N2,O3                                                    37.86
Tb      N1,N2,P1                                                    60.38
Tb      N1,N3,N6                                                    91.58
Tb      N1,N3,N7                                                    92.49
Tb      N1,N3,O1                                                    49.17
Tb      N1,N3,O2                                                    69.44
Tb      N1,N3,O3                                                    74.25
Tb      N1,N3,P1                                                    96.77
Tb      N1,N4,N4                                                    60.73
Tb      N1,N4,N5                                                    67.3
Tb      N1,N4,N6                                                   214.06
Tb      N1,N4,N7                                                   214.97
Tb      N1,N4,O1                                                   171.64
Tb      N1,N4,O2                                                   191.91
Tb      N1,N4,O3                                                   196.72
Tb      N1,N4,P1                                                   219.24
Tb      N1,N5,N5                                                    73.86
Tb      N1,N5,N6                                                   220.62
Tb      N1,N5,N7                                                   221.53
Tb      N1,N5,O1                                                   178.2
Tb      N1,N5,O2                                                   198.47
Tb      N1,N5,O3                                                   203.28
Tb      N1,N5,P1                                                   225.81
Tb      N1,N6,N6                                                   367.38
Tb      N1,N6,N7                                                   368.29
Tb      N1,N6,O1                                                   324.96
Tb      N1,N6,O2                                                   345.24
Tb      N1,N6,O3                                                   350.05
Tb      N1,N6,P1                                                   372.56
Tb      N1,N7,N7                                                   369.2
Tb      N1,N7,O1                                                   325.87
Tb      N1,N7,O2                                                   346.14
Tb      N1,N7,O3                                                   350.95
Tb      N1,N7,P1                                                   373.47
Tb      N1,O1,O1                                                   282.55
Tb      N1,O1,O2                                                   302.82
Tb      N1,O1,O3                                                   307.63
Tb      N1,O1,P1                                                   330.15
Tb      N1,O2,O2                                                   323.09
Tb      N1,O2,O3                                                   327.9
Tb      N1,O2,P1                                                   350.42
Tb      N1,O3,O3                                                   332.71
Tb      N1,O3,P1                                                   355.23
Tb      N1,P1,P1                                                   377.75
Tb      N2,N3,N6                                                    19.19
Tb      N2,N3,N7                                                    20.1
Tb      N2,N3,P1                                                    24.38
Tb      N2,N4,N6                                                   141.67
Tb      N2,N4,N7                                                   142.58
Tb      N2,N4,O1                                                    99.25
Tb      N2,N4,O2                                                   119.52
Tb      N2,N4,O3                                                   124.33
Tb      N2,N4,P1                                                   146.85
Tb      N2,N5,N6                                                   148.23
Tb      N2,N5,N7                                                   149.14
Tb      N2,N5,O1                                                   105.82
Tb      N2,N5,O2                                                   126.09
Tb      N2,N5,O3                                                   130.9
Tb      N2,N5,P1                                                   153.42
Tb      N2,N6,N6                                                   294.99
Tb      N2,N6,N7                                                   295.9
Tb      N2,N6,O1                                                   252.57
Tb      N2,N6,O2                                                   272.85
Tb      N2,N6,O3                                                   277.66
Tb      N2,N6,P1                                                   300.18
Tb      N2,N7,N7                                                   296.81
Tb      N2,N7,O1                                                   253.48
Tb      N2,N7,O2                                                   273.75
Tb      N2,N7,O3                                                   278.56
Tb      N2,N7,P1                                                   301.08
Tb      N2,O1,O1                                                   210.16
Tb      N2,O1,O2                                                   230.43
Tb      N2,O1,O3                                                   235.24
Tb      N2,O1,P1                                                   257.76
Tb      N2,O2,O2                                                   250.7
Tb      N2,O2,O3                                                   255.51
Tb      N2,O2,P1                                                   278.03
Tb      N2,O3,O3                                                   260.32
Tb      N2,O3,P1                                                   282.84
Tb      N2,P1,P1                                                   305.36
Tb      N3,N4,N6                                                   106.71
Tb      N3,N4,N7                                                   107.62
Tb      N3,N4,O1                                                    64.29
Tb      N3,N4,O2                                                    84.56
Tb      N3,N4,O3                                                    89.37
Tb      N3,N4,P1                                                   111.89
Tb      N3,N5,N6                                                   113.27
Tb      N3,N5,N7                                                   114.18
Tb      N3,N5,O1                                                    70.86
Tb      N3,N5,O2                                                    91.13
Tb      N3,N5,O3                                                    95.94
Tb      N3,N5,P1                                                   118.46
Tb      N3,N6,N6                                                   260.03
Tb      N3,N6,N7                                                   260.94
Tb      N3,N6,O1                                                   217.62
Tb      N3,N6,O2                                                   237.89
Tb      N3,N6,O3                                                   242.7
Tb      N3,N6,P1                                                   265.22
Tb      N3,N7,N7                                                   261.85
Tb      N3,N7,O1                                                   218.53
Tb      N3,N7,O2                                                   238.8
Tb      N3,N7,O3                                                   243.61
Tb      N3,N7,P1                                                   266.13
Tb      N3,O1,O1                                                   175.2
Tb      N3,O1,O2                                                   195.47
Tb      N3,O1,O3                                                   200.28
Tb      N3,O1,P1                                                   222.8
Tb      N3,O2,O2                                                   215.74
Tb      N3,O2,O3                                                   220.55
Tb      N3,O2,P1                                                   243.07
Tb      N3,O3,O3                                                   225.36
Tb      N3,O3,P1                                                   247.88
Tb      N3,P1,P1                                                   270.4
Tb      N4,N6,N6                                                   139.58
Tb      N4,N6,N7                                                   140.49
Tb      N4,N6,O1                                                    97.17
Tb      N4,N6,O2                                                   117.44
Tb      N4,N6,O3                                                   122.25
Tb      N4,N6,P1                                                   144.77
Tb      N4,N7,N7                                                   141.4
Tb      N4,N7,O1                                                    98.08
Tb      N4,N7,O2                                                   118.34
Tb      N4,N7,O3                                                   123.16
Tb      N4,N7,P1                                                   145.68
Tb      N4,O1,O1                                                    54.75
Tb      N4,O1,O2                                                    75.02
Tb      N4,O1,O3                                                    79.83
Tb      N4,O1,P1                                                   102.35
Tb      N4,O2,O2                                                    95.29
Tb      N4,O2,O3                                                   100.1
Tb      N4,O2,P1                                                   122.62
Tb      N4,O3,O3                                                   104.91
Tb      N4,O3,P1                                                   127.43
Tb      N4,P1,P1                                                   149.95
Tb      N5,N6,N6                                                   133.28
Tb      N5,N6,N7                                                   134.19
Tb      N5,N6,O1                                                    90.86
Tb      N5,N6,O2                                                   111.13
Tb      N5,N6,O3                                                   115.94
Tb      N5,N6,P1                                                   138.47
Tb      N5,N7,N7                                                   135.1
Tb      N5,N7,O1                                                    91.77
Tb      N5,N7,O2                                                   112.04
Tb      N5,N7,O3                                                   116.85
Tb      N5,N7,P1                                                   139.38
Tb      N5,O1,O1                                                    48.45
Tb      N5,O1,O2                                                    68.72
Tb      N5,O1,O3                                                    73.53
Tb      N5,O1,P1                                                    96.05
Tb      N5,O2,O2                                                    88.99
Tb      N5,O2,O3                                                    93.8
Tb      N5,O2,P1                                                   116.32
Tb      N5,O3,O3                                                    98.61
Tb      N5,O3,P1                                                   121.13
Tb      N5,P1,P1                                                   143.65
Tb      O1,O2,P1                                                    14.2
Tb      O1,O3,P1                                                    19.01
Tb      O1,P1,P1                                                    41.53
Tb      O2,P1,P1                                                    21.6
Tb      O3,P1,P1                                                    16.95
Dy      N1                                                         404.2
Dy      N2                                                         329.38
Dy      N3                                                         291.56
Dy      N4                                                         167.07
Dy      N5                                                         160.24
Dy      N6                                                          10.62
Dy      O1                                                          53.67
Dy      O2                                                          33.06
Dy      O3                                                          28.09
Dy      L1,L2,N4                                                    82.45
Dy      L1,L2,N5                                                    89.56
Dy      L1,L2,N6                                                   242.09
Dy      L1,L2,N7                                                   243.1
Dy      L1,L2,O1                                                   198.37
Dy      L1,L2,O2                                                   219.32
Dy      L1,L2,O3                                                   224.46
Dy      L1,L2,P1                                                   247.41
Dy      L2,L3,N1                                                   257.08
Dy      L2,L3,N2                                                   333.14
Dy      L2,L3,N3                                                   372.47
Dy      L2,L3,N4                                                   499
Dy      M1,M2,N6                                                   136.84
Dy      M1,M2,N7                                                   137.85
Dy      M1,M2,O1                                                    93.12
Dy      M1,M2,O2                                                   114.07
Dy      M1,M2,O3                                                   119.21
Dy      M1,M2,P1                                                   142.16
Dy      M1,M3,N3                                                    26.02
Dy      M1,M3,N4                                                   152.55
Dy      M1,M3,N5                                                   159.67
Dy      M1,M3,N6                                                   312.19
Dy      M1,M3,N7                                                   313.21
Dy      M1,M3,O1                                                   268.47
Dy      M1,M3,O2                                                   289.43
Dy      M1,M3,O3                                                   294.57
Dy      M1,M3,P1                                                   317.52
Dy      M1,M4,N1                                                   240.02
Dy      M1,M4,N2                                                   316.08
Dy      M1,M4,N3                                                   355.42
Dy      M1,M4,N4                                                   481.95
Dy      M1,M4,N5                                                   489.06
Dy      M1,M5,N1                                                   278.52
Dy      M1,M5,N2                                                   354.58
Dy      M1,M5,N3                                                   393.92
Dy      M2,M3,N6                                                   124.89
Dy      M2,M3,N7                                                   125.91
Dy      M2,M3,O1                                                    81.17
Dy      M2,M3,O2                                                   102.13
Dy      M2,M3,O3                                                   107.27
Dy      M2,M3,P1                                                   130.22
Dy      M2,M4,N1                                                    52.73
Dy      M2,M4,N2                                                   128.78
Dy      M2,M4,N3                                                   168.12
Dy      M2,M4,N4                                                   294.65
Dy      M2,M4,N5                                                   301.76
Dy      M2,M4,N6                                                   454.29
Dy      M2,M4,N7                                                   455.31
Dy      M2,M4,O1                                                   410.57
Dy      M2,M4,O2                                                   431.52
Dy      M2,M4,O3                                                   436.67
Dy      M2,M4,P1                                                   459.62
Dy      M2,M5,N1                                                    91.23
Dy      M2,M5,N2                                                   167.28
Dy      M2,M5,N3                                                   206.62
Dy      M2,M5,N4                                                   333.15
Dy      M2,M5,N5                                                   340.26
Dy      M2,M5,N6                                                   492.79
Dy      M2,M5,N7                                                   493.81
Dy      M2,M5,O1                                                   449.07
Dy      M2,M5,O2                                                   470.02
Dy      M2,M5,O3                                                   475.17
Dy      M2,M5,P1                                                   498.12
Dy      M3,M4,N4                                                   125.85
Dy      M3,M4,N5                                                   132.96
Dy      M3,M4,N6                                                   285.49
Dy      M3,M4,N7                                                   286.5
Dy      M3,M4,O1                                                   241.77
Dy      M3,M4,O2                                                   262.72
Dy      M3,M4,O3                                                   267.86
Dy      M3,M4,P1                                                   290.81
Dy      M3,M5,N3                                                    37.82
Dy      M3,M5,N4                                                   164.35
Dy      M3,M5,N5                                                   171.46
Dy      M3,M5,N6                                                   323.99
Dy      M3,M5,N7                                                   325
Dy      M3,M5,O1                                                   280.27
Dy      M3,M5,O2                                                   301.22
Dy      M3,M5,O3                                                   306.36
Dy      M3,M5,P1                                                   329.31
Dy      M5,N1,N1                                                   474.95
Dy      N1,N2,N6                                                    57.27
Dy      N1,N2,N7                                                    58.29
Dy      N1,N2,O1                                                    13.55
Dy      N1,N2,O2                                                    34.51
Dy      N1,N2,O3                                                    39.65
Dy      N1,N2,P1                                                    62.6
Dy      N1,N3,N6                                                    96.61
Dy      N1,N3,N7                                                    97.62
Dy      N1,N3,O1                                                    52.89
Dy      N1,N3,O2                                                    73.84
Dy      N1,N3,O3                                                    78.98
Dy      N1,N3,P1                                                   101.93
Dy      N1,N4,N4                                                    63.5
Dy      N1,N4,N5                                                    70.61
Dy      N1,N4,N6                                                   223.14
Dy      N1,N4,N7                                                   224.16
Dy      N1,N4,O1                                                   179.42
Dy      N1,N4,O2                                                   200.38
Dy      N1,N4,O3                                                   205.51
Dy      N1,N4,P1                                                   228.47
Dy      N1,N5,N5                                                    77.73
Dy      N1,N5,N6                                                   230.25
Dy      N1,N5,N7                                                   231.27
Dy      N1,N5,O1                                                   186.53
Dy      N1,N5,O2                                                   207.49
Dy      N1,N5,O3                                                   212.63
Dy      N1,N5,P1                                                   235.58
Dy      N1,N6,N6                                                   382.78
Dy      N1,N6,N7                                                   383.8
Dy      N1,N6,O1                                                   339.06
Dy      N1,N6,O2                                                   360.01
Dy      N1,N6,O3                                                   365.16
Dy      N1,N6,P1                                                   388.11
Dy      N1,N7,N7                                                   384.81
Dy      N1,N7,O1                                                   340.07
Dy      N1,N7,O2                                                   361.03
Dy      N1,N7,O3                                                   366.17
Dy      N1,N7,P1                                                   389.12
Dy      N1,O1,O1                                                   295.34
Dy      N1,O1,O2                                                   316.29
Dy      N1,O1,O3                                                   321.44
Dy      N1,O1,P1                                                   344.38
Dy      N1,O2,O2                                                   337.25
Dy      N1,O2,O3                                                   342.39
Dy      N1,O2,P1                                                   365.34
Dy      N1,O3,O3                                                   347.53
Dy      N1,O3,P1                                                   370.48
Dy      N1,P1,P1                                                   393.43
Dy      N2,N3,N6                                                    21.79
Dy      N2,N3,N7                                                    22.8
Dy      N2,N3,P1                                                    27.12
Dy      N2,N4,N6                                                   148.32
Dy      N2,N4,N7                                                   149.34
Dy      N2,N4,O1                                                   104.6
Dy      N2,N4,O2                                                   125.56
Dy      N2,N4,O3                                                   130.69
Dy      N2,N4,P1                                                   153.65
Dy      N2,N5,N6                                                   155.43
Dy      N2,N5,N7                                                   156.45
Dy      N2,N5,O1                                                   111.71
Dy      N2,N5,O2                                                   132.67
Dy      N2,N5,O3                                                   137.81
Dy      N2,N5,P1                                                   160.76
Dy      N2,N6,N6                                                   307.96
Dy      N2,N6,N7                                                   308.98
Dy      N2,N6,O1                                                   264.24
Dy      N2,N6,O2                                                   285.19
Dy      N2,N6,O3                                                   290.34
Dy      N2,N6,P1                                                   313.29
Dy      N2,N7,N7                                                   309.99
Dy      N2,N7,O1                                                   265.25
Dy      N2,N7,O2                                                   286.21
Dy      N2,N7,O3                                                   291.35
Dy      N2,N7,P1                                                   314.3
Dy      N2,O1,O1                                                   220.52
Dy      N2,O1,O2                                                   241.47
Dy      N2,O1,O3                                                   246.61
Dy      N2,O1,P1                                                   269.56
Dy      N2,O2,O2                                                   262.43
Dy      N2,O2,O3                                                   267.57
Dy      N2,O2,P1                                                   290.52
Dy      N2,O3,O3                                                   272.71
Dy      N2,O3,P1                                                   295.66
Dy      N2,P1,P1                                                   318.61
Dy      N3,N4,N6                                                   110.5
Dy      N3,N4,N7                                                   111.52
Dy      N3,N4,O1                                                    66.78
Dy      N3,N4,O2                                                    87.74
Dy      N3,N4,O3                                                    92.88
Dy      N3,N4,P1                                                   115.83
Dy      N3,N5,N6                                                   117.61
Dy      N3,N5,N7                                                   118.63
Dy      N3,N5,O1                                                    73.89
Dy      N3,N5,O2                                                    94.85
Dy      N3,N5,O3                                                    99.99
Dy      N3,N5,P1                                                   122.94
Dy      N3,N6,N6                                                   270.14
Dy      N3,N6,N7                                                   271.16
Dy      N3,N6,O1                                                   226.42
Dy      N3,N6,O2                                                   247.38
Dy      N3,N6,O3                                                   252.52
Dy      N3,N6,P1                                                   275.47
Dy      N3,N7,N7                                                   272.17
Dy      N3,N7,O1                                                   227.44
Dy      N3,N7,O2                                                   248.39
Dy      N3,N7,O3                                                   253.53
Dy      N3,N7,P1                                                   276.48
Dy      N3,O1,O1                                                   182.7
Dy      N3,O1,O2                                                   203.66
Dy      N3,O1,O3                                                   208.79
Dy      N3,O1,P1                                                   231.75
Dy      N3,O2,O2                                                   224.61
Dy      N3,O2,O3                                                   229.75
Dy      N3,O2,P1                                                   252.7
Dy      N3,O3,O3                                                   234.89
Dy      N3,O3,P1                                                   257.84
Dy      N3,P1,P1                                                   280.79
Dy      N4,N6,N6                                                   145.65
Dy      N4,N6,N7                                                   146.66
Dy      N4,N6,O1                                                   101.93
Dy      N4,N6,O2                                                   122.88
Dy      N4,N6,O3                                                   128.02
Dy      N4,N6,P1                                                   150.97
Dy      N4,N7,N7                                                   147.68
Dy      N4,N7,O1                                                   102.94
Dy      N4,N7,O2                                                   123.9
Dy      N4,N7,O3                                                   129.04
Dy      N4,N7,P1                                                   151.99
Dy      N4,O1,O1                                                    58.21
Dy      N4,O1,O2                                                    79.16
Dy      N4,O1,O3                                                    84.3
Dy      N4,O1,P1                                                   107.25
Dy      N4,O2,O2                                                   100.12
Dy      N4,O2,O3                                                   105.26
Dy      N4,O2,P1                                                   128.21
Dy      N4,O3,O3                                                   110.4
Dy      N4,O3,P1                                                   133.35
Dy      N4,P1,P1                                                   156.3
Dy      N5,N6,N6                                                   138.82
Dy      N5,N6,N7                                                   139.84
Dy      N5,N6,O1                                                    95.1
Dy      N5,N6,O2                                                   116.06
Dy      N5,N6,O3                                                   121.19
Dy      N5,N6,P1                                                   144.15
Dy      N5,N7,N7                                                   140.85
Dy      N5,N7,O1                                                    96.12
Dy      N5,N7,O2                                                   117.07
Dy      N5,N7,O3                                                   122.21
Dy      N5,N7,P1                                                   145.16
Dy      N5,O1,O1                                                    51.38
Dy      N5,O1,O2                                                    72.34
Dy      N5,O1,O3                                                    77.47
Dy      N5,O1,P1                                                   100.42
Dy      N5,O2,O2                                                    93.29
Dy      N5,O2,O3                                                    98.43
Dy      N5,O2,P1                                                   121.38
Dy      N5,O3,O3                                                   103.57
Dy      N5,O3,P1                                                   126.52
Dy      N5,P1,P1                                                   149.47
Dy      O1,O2,P1                                                    14.81
Dy      O1,O3,P1                                                    19.95
Dy      O1,P1,P1                                                    42.9
Dy      O2,P1,P1                                                    22.29
Dy      O3,P1,P1                                                    17.32
Ho      N1                                                         420.35
Ho      N2                                                         343.05
Ho      N3                                                         302.2
Ho      N4                                                         173.63
Ho      N5                                                         166.23
Ho      N6                                                          10.8
Ho      O1                                                          55.19
Ho      O2                                                          33.89
Ho      O3                                                          28.58
Ho      L1,L2,N4                                                    81.51
Ho      L1,L2,N5                                                    89.21
Ho      L1,L2,N6                                                   247.58
Ho      L1,L2,N7                                                   248.71
Ho      L1,L2,O1                                                   202.49
Ho      L1,L2,O2                                                   224.14
Ho      L1,L2,O3                                                   229.63
Ho      L1,L2,P1                                                   253
Ho      L2,L3,N1                                                   295.55
Ho      L2,L3,N2                                                   374.11
Ho      L2,L3,N3                                                   416.57
Ho      M1,M2,N6                                                   140.53
Ho      M1,M2,N7                                                   141.66
Ho      M1,M2,O1                                                    95.44
Ho      M1,M2,O2                                                   117.09
Ho      M1,M2,O3                                                   122.58
Ho      M1,M2,P1                                                   145.95
Ho      M1,M3,N3                                                    32.57
Ho      M1,M3,N4                                                   163.21
Ho      M1,M3,N5                                                   170.91
Ho      M1,M3,N6                                                   329.28
Ho      M1,M3,N7                                                   330.41
Ho      M1,M3,O1                                                   284.19
Ho      M1,M3,O2                                                   305.84
Ho      M1,M3,O3                                                   311.33
Ho      M1,M3,P1                                                   334.7
Ho      M1,M4,N1                                                   248.8
Ho      M1,M4,N2                                                   327.36
Ho      M1,M4,N3                                                   369.82
Ho      M1,M5,N1                                                   290.25
Ho      M1,M5,N2                                                   368.8
Ho      M1,M5,N3                                                   411.26
Ho      M2,M3,N6                                                   137.18
Ho      M2,M3,N7                                                   138.31
Ho      M2,M3,O1                                                    92.09
Ho      M2,M3,O2                                                   113.74
Ho      M2,M3,O3                                                   119.23
Ho      M2,M3,P1                                                   142.6
Ho      M2,M4,N1                                                    56.7
Ho      M2,M4,N2                                                   135.26
Ho      M2,M4,N3                                                   177.72
Ho      M2,M4,N4                                                   308.36
Ho      M2,M4,N5                                                   316.06
Ho      M2,M4,N6                                                   474.43
Ho      M2,M4,N7                                                   475.56
Ho      M2,M4,O1                                                   429.34
Ho      M2,M4,O2                                                   450.99
Ho      M2,M4,O3                                                   456.48
Ho      M2,M4,P1                                                   479.85
Ho      M2,M5,N1                                                    98.15
Ho      M2,M5,N2                                                   176.7
Ho      M2,M5,N3                                                   219.16
Ho      M2,M5,N4                                                   349.81
Ho      M2,M5,N5                                                   357.5
Ho      M2,M5,O1                                                   470.79
Ho      M2,M5,O2                                                   492.44
Ho      M2,M5,O3                                                   497.93
Ho      M3,M4,N4                                                   126.46
Ho      M3,M4,N5                                                   134.16
Ho      M3,M4,N6                                                   292.53
Ho      M3,M4,N7                                                   293.66
Ho      M3,M4,O1                                                   247.44
Ho      M3,M4,O2                                                   269.09
Ho      M3,M4,O3                                                   274.58
Ho      M3,M4,P1                                                   297.95
Ho      M3,M5,N3                                                    37.26
Ho      M3,M5,N4                                                   167.91
Ho      M3,M5,N5                                                   175.6
Ho      M3,M5,N6                                                   333.98
Ho      M3,M5,N7                                                   335.1
Ho      M3,M5,O1                                                   288.89
Ho      M3,M5,O2                                                   310.54
Ho      M3,M5,O3                                                   316.03
Ho      M3,M5,P1                                                   339.4
Ho      M5,N1,N1                                                   498.1
Ho      N1,N2,N6                                                    59.44
Ho      N1,N2,N7                                                    60.56
Ho      N1,N2,O1                                                    14.35
Ho      N1,N2,O2                                                    36
Ho      N1,N2,O3                                                    41.49
Ho      N1,N2,P1                                                    64.86
Ho      N1,N3,N6                                                   101.89
Ho      N1,N3,N7                                                   103.02
Ho      N1,N3,O1                                                    56.8
Ho      N1,N3,O2                                                    78.45
Ho      N1,N3,O3                                                    83.94
Ho      N1,N3,P1                                                   107.31
Ho      N1,N4,N4                                                    66.47
Ho      N1,N4,N5                                                    74.17
Ho      N1,N4,N6                                                   232.54
Ho      N1,N4,N7                                                   233.67
Ho      N1,N4,O1                                                   187.45
Ho      N1,N4,O2                                                   209.1
Ho      N1,N4,O3                                                   214.59
Ho      N1,N4,P1                                                   237.96
Ho      N1,N5,N5                                                    81.86
